,民國102年01月,,,,,,,Jan-13,,,
證  券  名  稱,成   交   值,成  交  量,成交筆數,均    價,收盤均價,月    底,盤中最高價,,盤中最低價,,成 交 量
,,,,(註一),(註二),收 盤 價,,日    期,,日    期,週轉率(％)
Security's,Trading,Trading,No. of,Average,Cls. Avg.,End-of-,Monthly,Date of,Monthly,Date of,Volume
Code & Name,Value,Volume,Trans.,Price,Price,Month,High,Monthly,Low,Monthly,Turnover
,,,,(Note 1),(Note 2),Closing,,High,,Low,Rate(％)
01 水泥工業類,,,,,,,,,,,
Cement,,,,,,,,,,,
1457  宜進,92774267,11722100,3406,7.91,7.78,7.6,8.23,1月3日,7.38,1月29日,3.69
1459  聯發,33338147,3787338,1263,8.8,8.79,8.62,9.15,1月11日,8.33,1月28日,1.06
1460  宏遠,55304901,7556886,2462,7.32,7.25,7.11,7.63,1月4日,6.98,1月25日,1.6
1463  強盛,318970340,26561704,6360,12.01,11.93,11.85,12.55,1月7日,11.2,1月28日,14.1
1464  得力,17924021,1967929,614,9.11,9.06,8.99,9.3,1月8日,8.4,1月21日,0.91
1465  偉全,15860520,1264835,530,12.54,12.52,12.5,13,1月8日,12.3,1月25日,1.46
1466  聚隆,484126441,23743831,8182,20.39,19.68,18.9,21.7,1月7日,18.2,1月28日,24.92
1467  南緯,87563923,8776418,2269,9.98,9.92,10.1,10.35,1月21日,9.68,1月2日,5.22
1468  昶和,6717761,578119,359,11.62,11.6,11.6,12.65,1月17日,10.6,1月29日,0.36
1469  理隆,1155750,127000,83,9.1,9.17,9.11,9.38,1月3日,8.93,1月25日,0.1
1470  大統染,1571945,124790,38,12.6,12.77,13.2,13.35,1月30日,12.15,1月16日,0.15
1472  三洋紡,20148875,1187852,715,16.96,17.03,16.75,18.1,1月2日,15.6,1月28日,2
1473  台南,252272455,8086482,4172,31.2,31.07,30.7,32.2,1月28日,29.5,1月8日,5.51
1474  弘裕,14128308,1984557,719,7.12,7.06,6.98,7.4,1月3日,6.86,1月28日,1.44
1475  本盟,1612227,177962,132,9.06,8.76,10.2,10.35,1月31日,7.94,1月9日,0.55
1476  儒鴻,2984737744,26252322,13645,113.69,114.75,125,125,1月31日,104,1月3日,10.67
1477  聚陽,1771266280,18543564,13190,95.52,95.83,96.6,100,1月11日,90.5,1月2日,11.23
4414  如興,138034988,13845548,4359,9.97,9.76,10.35,10.8,1月23日,9.13,1月8日,23.61
4426  利勤,81249049,3014248,1415,26.95,26.33,27.05,27.7,1月11日,25.05,1月7日,4.71
05 電機機械類,,,,,,,,,,,
Electric Machinery,,,,,,,,,,,
1503  士電,87292251,2443080,1394,35.73,35.78,35.7,36.1,1月3日,35.35,1月25日,0.47
1504  東元,2886451594,123907602,41977,23.3,23.28,24.55,24.9,1月31日,22.15,1月2日,6.7
1506  正道,209203301,9543117,2615,21.92,22.25,22.5,23.8,1月10日,19.9,1月2日,7.81
1507  永大,1336176839,24180850,12569,55.26,55.05,57.7,58.3,1月30日,53.2,1月3日,5.89
1512  瑞利,41073462,5207077,1443,7.89,7.85,7.74,8.14,1月2日,7.43,1月18日,2.86
1513  中興電,347995735,21952240,6998,15.85,15.81,16,16.15,1月15日,15.5,1月2日,4.57
1514  亞力,65437682,7516159,2038,8.71,8.71,8.7,8.95,1月11日,8.41,1月31日,3.74
1515  力山,73894949,8361371,2841,8.84,8.65,9.3,9.8,1月25日,7.43,1月8日,4.61
1517  利奇,80973393,6696999,2356,12.09,12.03,11.95,12.4,1月11日,11.75,1月17日,2.94
1519  華城,57175408,4784460,2150,11.95,11.93,11.9,12.25,1月8日,11.65,1月17日,1.83
1521  大億,186795658,3951863,2657,47.27,46.55,49.1,50.8,1月28日,43.5,1月17日,5.18
1522  堤維西,50871819,4725076,2137,10.77,10.79,10.7,11,1月10日,10.5,1月25日,1.5
1524  耿鼎,48620753,7224404,2148,6.73,6.64,6.55,7.11,1月11日,6.38,1月2日,4.45
1525  江申,73649739,1608898,1166,45.78,45.66,45.8,47.35,1月3日,44.2,1月17日,2.32
1526  日馳,3318746,479662,227,6.92,6.93,6.88,7.1,1月29日,6.8,1月28日,0.96
1527  鑽全,84909181,4561680,2280,18.61,18.09,18.9,19.75,1月29日,17.4,1月17日,2.98
1528  恩德,70073665,6650049,2573,10.54,10.46,10.75,11,1月21日,10.05,1月10日,4.52
1530  亞崴,63844540,2040148,1234,31.29,31.17,31.35,32.3,1月4日,30.4,1月24日,2.15
1531  高林股,73009340,4048790,1868,18.03,18.01,18.05,18.5,1月8日,17.5,1月21日,2.1
1533  車王電,39749581,2296470,1355,17.31,17.04,17.7,18.2,1月31日,16.65,1月11日,2.38
1535  中宇,367475528,5242672,3458,70.09,69.05,74.1,75.5,1月29日,66.1,1月2日,4.53
1536  和大,1005148579,50208068,17065,20.02,18.97,21.9,22.2,1月31日,17.4,1月2日,31.72
1537  廣隆,1668609336,26837580,13662,62.17,61.92,66,66.9,1月30日,57.8,1月2日,32.9
1538  正峰新,172184984,15168082,5677,11.35,10.81,11.65,12.55,1月21日,8.75,1月8日,9.36
1539  巨庭,4260582,636814,271,6.69,6.61,6.73,7.05,1月30日,6.2,1月28日,0.97
1540  喬福,48245697,2563803,1323,18.82,18.83,19.2,19.4,1月3日,18.2,1月17日,3
1541  錩泰,24255244,2195969,1000,11.05,10.78,10.95,11.6,1月30日,10,1月21日,2.79
1560  中砂,1665162740,36766978,20214,45.29,44.14,47.15,47.9,1月31日,41.25,1月2日,26.08
1583  程泰,34448058,817678,586,42.13,42.01,43.8,44.5,1月31日,41,1月28日,0.83
1589  F-永冠,254138148,7008723,3274,36.26,36.18,37.3,38,1月3日,34.25,1月2日,6.95
1590  F-亞德,1224720800,7226397,6001,169.48,168.68,172.5,179,1月28日,154.5,1月7日,4.82
2049  上銀,16196593306,72898087,54203,222.18,217.91,237,238,1月31日,204,1月8日,29.58
2231  為升,76311360,1073348,626,71.1,71.27,71.2,73.2,1月15日,69,1月14日,1.77
4526  東台,206993058,8961955,4886,23.1,22.72,23.45,24.4,1月24日,21.8,1月17日,3.96
4532  瑞智,551681253,21518151,8553,25.64,25.43,26,26.15,1月30日,24.2,1月17日,4.87
6605  帝寶,206732457,3038359,2057,68.04,68.09,69.5,69.6,1月31日,65.8,1月17日,1.83
8374  羅昇,1207580635,36108240,21210,33.44,29.64,36.45,38.3,1月31日,26.45,1月18日,41.22
06 電器電纜類,,,,,,,,,,,
Electrical and Cable,,,,,,,,,,,
1603  華電,374843542,32808310,7396,11.43,11.21,10.9,12,1月8日,10.65,1月17日,9.58
1604  聲寶,530229294,52069262,11774,10.18,10.13,10.15,10.45,1月3日,9.85,1月17日,8.91
1605  華新,1586149978,157740104,41487,10.06,9.96,9.95,10.5,1月3日,9.55,1月17日,4.36
1608  華榮,317863814,27027826,7007,11.76,11.52,11.05,12.75,1月2日,10.85,1月28日,4.27
1609  大亞,90623141,12633483,3569,7.17,7.15,7.06,7.31,1月11日,7,1月28日,2.18
1611  中電,248867231,14092058,5127,17.66,17.52,18,18.5,1月14日,17,1月7日,3.54
1612  宏泰,76927987,7500238,2231,10.26,10.23,10.1,10.45,1月15日,9.99,1月29日,2.31
1613  台一,64897407,13059170,2929,4.97,4.87,4.83,5.29,1月14日,4.45,1月2日,6.53
1614  三洋電,277565317,8822021,4158,31.46,30.97,30.9,32.9,1月16日,29.5,1月2日,2.79
1615  大山,6029676,535237,312,11.27,11.32,11.1,11.8,1月11日,10.8,1月2日,0.48
1616  億泰,194587639,30220910,6890,6.44,6.28,6.26,6.97,1月15日,5.55,1月2日,15.57
1617  榮星,11386674,1136460,510,10.02,9.79,9.77,10.45,1月25日,9.5,1月23日,0.79
1618  合機,160851933,14009986,3774,11.48,11.31,11.2,12.3,1月3日,10.6,1月17日,5.82
4930  燦星網,2088828800,152276334,44106,13.72,13.29,14.1,15.2,1月16日,11.6,1月4日,56.69
08 玻璃陶瓷類,,,,,,,,,,,
Glass and Ceramics,,,,,,,,,,,
1802  台玻,902596241,30449739,15937,29.64,29.73,28.95,31.2,1月11日,27.65,1月25日,1.28
1806  冠軍,257678701,22585389,6686,11.41,11.22,10.95,12.05,1月10日,10.7,1月21日,5.16
1809  中釉,500651792,32254580,12443,15.52,15.18,15,16.4,1月7日,14.2,1月21日,16.99
1810  和成,102681135,10931545,3092,9.39,9.32,9.09,9.68,1月4日,8.96,1月17日,2.96
09 造紙工業類,,,,,,,,,,,
Paper and Pulp,,,,,,,,,,,
1902  台紙,88168324,9525197,2905,9.26,9.26,9.32,9.43,1月11日,9.01,1月17日,2.37
1903  士紙,325724199,6496844,3738,50.14,48.85,47.9,52.9,1月4日,46.1,1月17日,2.5
1904  正隆,186325586,15065029,6344,12.37,12.35,12.2,12.55,1月16日,12.2,1月31日,1.4
1905  華紙,399302730,38524599,9509,10.36,10.34,10.3,10.65,1月24日,10.1,1月17日,3.06
1906  寶隆,3089694,458512,254,6.74,6.74,6.6,7,1月7日,6.48,1月18日,0.3
1907  永豐餘,1574705457,111477444,32034,14.13,14.08,14.25,14.6,1月29日,13.4,1月17日,6.71
1909  榮成,90522650,11043821,2629,8.2,8.15,8.08,8.36,1月3日,8.03,1月28日,1.61
10 鋼鐵工業類,,,,,,,,,,,
Iron and Steel,,,,,,,,,,,
1532  勤美,1358155312,45727059,16856,29.7,28.99,29.1,31.45,1月14日,27,1月7日,12.09
2002  中鋼,10509706245,379330668,121211,27.71,27.72,27.85,28.4,1月3日,26.8,1月24日,2.48
2002A 中鋼特,7125900,178000,84,40.03,39.93,40.2,41,1月10日,39.55,1月2日,0.47
2006  東鋼,1594177199,53359243,22383,29.88,29.7,29.8,30.65,1月14日,28.8,1月28日,5.4
2007  燁興,423075780,53156226,12436,7.96,7.7,7.76,8.58,1月10日,6.89,1月17日,8.43
2009  第一銅,107494461,9960939,3976,10.79,10.33,10.05,12,1月3日,9.61,1月17日,2.77
2010  春源,174554760,14753582,5227,11.83,11.67,11.6,12.25,1月3日,11.35,1月25日,2.28
2012  春雨,91550286,7750221,2077,11.81,11.79,11.9,12.05,1月29日,11.5,1月8日,2.69
2013  中鋼構,364626295,11441813,5140,31.87,31.72,31.8,32.85,1月3日,30.9,1月2日,7.11
2014  中鴻,1341152415,131246442,33566,10.22,10.13,10.15,10.9,1月10日,9.5,1月17日,9.14
2015  豐興,711548433,13445949,7421,52.92,52.62,53,54.2,1月7日,51.1,1月22日,2.31
2017  官田鋼,735655951,89601562,22672,8.21,8.02,7.95,8.7,1月3日,7.53,1月17日,23.09
2020  美亞,168465059,12967823,3952,12.99,12.67,12.35,13.7,1月3日,12.05,1月25日,4.88
2022  聚亨,1370180925,215796009,36131,6.35,6.21,6.32,6.97,1月10日,5.76,1月2日,44.6
2023  燁輝,728002206,73516160,20564,9.9,9.65,9.5,10.5,1月3日,9.2,1月21日,4.5
2024  志聯,88417646,12963082,3614,6.82,6.81,6.83,7.27,1月10日,6.2,1月2日,11.83
2025  千興,476049073,95965540,19349,4.96,4.87,4.86,5.46,1月14日,4.41,1月22日,29.73
2027  大成鋼,251651341,16376666,6513,15.37,15.12,15,16.1,1月3日,14.5,1月17日,2.31
2028  威致,179413080,30633549,7424,5.86,5.72,5.66,6.25,1月10日,5.38,1月22日,11.56
2029  盛餘,94332680,4963027,2015,19.01,18.61,18.65,19.75,1月14日,18.3,1月25日,1.55
2030  彰源,235731010,21364100,7053,11.03,10.73,10.6,11.9,1月3日,10.25,1月25日,7.83
2031  新光鋼,745530174,33426219,13226,22.3,21.88,22.05,23.8,1月10日,20.5,1月21日,12.06
