,民國101年10月,,,,,,,Oct-12,,,
證  券  名  稱,成   交   值,成  交  量,成交筆數,均    價,收盤均價,月    底,盤中最高價,,盤中最低價,,成 交 量
,,,,(註一),(註二),收 盤 價,,日    期,,日    期,週轉率(％)
Security's,Trading,Trading,No. of,Average,Cls. Avg.,End-of-,Monthly,Date of,Monthly,Date of,Volume
Code & Name,Value,Volume,Trans.,Price,Price,Month,High,Monthly,Low,Monthly,Turnover
,,,,(Note 1),(Note 2),Closing,,High,,Low,Rate(％)
01 水泥工業類,,,,,,,,,,,
Cement,,,,,,,,,,,
2442  新美齊,33726365,4847523,1863,6.96,6.91,6.45,7.39,10月8日,6.25,10月29日,3.1
2465  麗臺,8425685,1826998,755,4.61,4.61,4.13,5.09,10月8日,4.03,10月29日,1.7
2474  可成,43340885338,328389412,181004,131.98,133.09,127,143,10月3日,117.5,10月29日,43.74
3002  歐格,23075471,2166096,714,10.65,10.58,10.4,11.65,10月1日,10.05,10月30日,2.12
3005  神基,2442434192,141451596,48397,17.27,18,13.2,21.4,10月3日,13.2,10月31日,24.48
3013  晟銘電,1256315483,41039107,13474,30.61,30.14,26.8,33.5,10月8日,25,10月29日,22.16
3017  奇鋐,500660275,31901324,12241,15.69,15.14,13.4,17.05,10月5日,13.2,10月29日,9.03
3022  威達電,3043238776,65830341,19790,46.23,49.18,36.35,54.5,10月9日,35.15,10月26日,22.32
3046  建碁,6540303,1215399,571,5.38,5.44,4.96,5.87,10月3日,4.71,10月30日,0.78
3057  喬鼎,193889734,14340243,5307,13.52,13.62,11,15.75,10月3日,10.5,10月30日,9.49
3060  銘異,5181593500,62542846,36853,82.85,83.33,78.8,91.4,10月1日,77,10月24日,37.73
3231  緯創,7679412690,249184046,86979,30.82,31.14,28.05,35.85,10月2日,26.7,10月30日,11.34
3494  誠研,88942469,6204463,2411,14.34,14.75,12.05,16.85,10月1日,12,10月31日,4.49
