,民國101年08月,,,,,,,Aug-12,,,
證  券  名  稱,成   交   值,成  交  量,成交筆數,均    價,收盤均價,月    底,盤中最高價,,盤中最低價,,成 交 量
,,,,(註一),(註二),收 盤 價,,日    期,,日    期,週轉率(％)
Security's,Trading,Trading,No. of,Average,Cls. Avg.,End-of-,Monthly,Date of,Monthly,Date of,Volume
Code & Name,Value,Volume,Trans.,Price,Price,Month,High,Monthly,Low,Monthly,Turnover
,,,,(Note 1),(Note 2),Closing,,High,,Low,Rate(％)
06110P元富E9,9600,25000,4,0.38,0.38,0.33,0.41,8月3日,0.33,8月8日
06111P元富F5,920290,581000,22,1.58,1.5,1.3,1.83,8月8日,1.21,8月28日
06112P國票FV,5060,7000,2,0.72,0.73,0.73,0.73,8月21日,0.72,8月21日
06114P群益5G,3004700,1588000,64,1.89,1.54,1.17,2.04,8月8日,1.07,8月27日
06116P群益5K,3249530,7478000,224,0.43,0.43,0.35,0.6,8月1日,0.35,8月31日
06117P群益5N,5084320,3753000,103,1.35,1.2,1.05,1.51,8月6日,0.97,8月24日
06118P群益5R,103230,378000,14,0.27,0.26,0.21,0.34,8月3日,0.21,8月30日
06119P群益5S,8696060,4898000,128,1.78,1.74,1.69,2.19,8月8日,1.51,8月21日
06120P群益5T,10703880,9725000,268,1.1,1.15,0.96,1.94,8月3日,0.82,8月21日
06121P9L富邦,16317940,11160000,173,1.46,1.54,1.23,2.9,8月3日,0.97,8月27日
06122P中信38,742670,3497000,71,0.21,0.27,0.14,0.51,8月1日,0.14,8月31日
06123PZ5元大,4187670,2300000,70,1.82,1.46,1.04,2.26,8月3日,1.02,8月31日
06125P02元大,9511230,12268000,295,0.78,0.69,0.65,1.04,8月7日,0.57,8月22日
06126P03元大,1810050,1989000,43,0.91,0.89,0.8,1.12,8月7日,0.79,8月29日
06127P04元大,8800,5000,1,1.76,1.76,1.76,1.76,8月1日,1.76,8月1日
06128P05元大,796110,1149000,49,0.69,0.7,0.66,0.86,8月1日,0.57,8月22日
06129P06元大,1786460,5300000,146,0.34,0.33,0.43,0.48,8月29日,0.25,8月13日
06130P兆豐1S,111430,223000,10,0.5,0.45,0.39,0.58,8月8日,0.36,8月21日
06131P元富G2,466330,4181000,50,0.11,0.11,0.08,0.16,8月3日,0.07,8月23日
06132P大華CT,9144350,4702000,135,1.94,1.97,1.95,2.29,8月3日,1.68,8月22日
06135P35元大,6900,25000,2,0.28,0.29,0.27,0.3,8月17日,0.27,8月31日
06136P36元大,123100,1401000,18,0.09,0.1,0.06,0.23,8月6日,0.06,8月31日
06137P37元大,12100,33000,5,0.37,0.39,0.43,0.43,8月31日,0.36,8月22日
06138P38元大,56300,115000,17,0.49,0.39,0.24,0.57,8月3日,0.24,8月30日
06139P凱基CK,3477860,4319000,58,0.81,0.71,0.62,0.94,8月7日,0.59,8月28日
06140P凱基CL,913510,647000,13,1.41,1.35,1.4,1.49,8月10日,1.22,8月3日
06141P5P永豐,38050,290000,12,0.13,0.12,0.04,0.21,8月8日,0.04,8月29日
06142P5Q永豐,175370,693000,21,0.25,0.21,0.11,0.36,8月1日,0.11,8月29日
06143P5R永豐,660700,1230000,39,0.54,0.57,0.52,0.63,8月16日,0.52,8月31日
06144P5U永豐,630830,2593000,116,0.24,0.23,0.18,0.34,8月7日,0.16,8月17日
06145P5W永豐,767230,1066000,32,0.72,0.72,0.61,0.87,8月7日,0.61,8月30日
06146P5Y永豐,119290,295000,14,0.4,0.36,0.31,0.44,8月8日,0.31,8月31日
06147P5Z永豐,6600,20000,2,0.33,0.33,0.34,0.34,8月30日,0.32,8月24日
06148P國泰NC,859340,2097000,94,0.41,0.34,0.11,0.56,8月7日,0.09,8月27日
06149P國泰ND,2229440,2975000,68,0.75,0.66,0.58,0.91,8月7日,0.57,8月30日
06150P國泰NE,2816180,5407000,117,0.52,0.46,0.41,0.66,8月1日,0.35,8月27日
06151P國泰NF,8338880,13453000,246,0.62,0.56,0.78,0.87,8月29日,0.41,8月22日
06152P國泰A2,532160,1415000,20,0.38,0.37,0.32,0.44,8月3日,0.32,8月23日
06153P亞東10,1446900,2073000,130,0.7,0.77,0.62,1.29,8月3日,0.55,8月21日
06154P富邦12,28750,62000,4,0.46,0.44,0.47,0.47,8月31日,0.4,8月27日
06155P富邦13,26910,98000,6,0.27,0.24,0.2,0.3,8月9日,0.2,8月22日
06156P富邦22,702600,1479000,95,0.48,0.52,0.4,0.91,8月3日,0.33,8月27日
06158P6B永豐,1690450,7563000,75,0.22,0.22,0.14,0.33,8月7日,0.14,8月27日
06159P6C永豐,90090,318000,9,0.28,0.28,0.21,0.32,8月10日,0.2,8月20日
06160P6I永豐,814510,1407000,30,0.58,0.55,0.61,0.61,8月31日,0.43,8月15日
06163P6N永豐,4000,20000,1,0.2,0.2,0.2,0.2,8月13日,0.2,8月13日
06166P6Y永豐,46350,872000,20,0.05,0.06,0.04,0.08,8月3日,0.04,8月21日
06169P日盛ZG,212100,110000,19,1.93,1.98,2,2.26,8月10日,1.64,8月27日
06170P日盛ZH,440130,1040000,56,0.42,0.38,0.18,0.53,8月1日,0.18,8月23日
06172P日盛ZL,1009310,4564000,146,0.22,0.21,0.14,0.38,8月3日,0.13,8月29日
06173P元富M6,13495100,26355000,674,0.51,0.45,0.32,0.76,8月3日,0.28,8月31日
06174P兆豐2Z,139730,92000,16,1.52,1.48,1.5,1.71,8月1日,1.35,8月21日
06175P兆豐3A,490300,2361000,35,0.21,0.18,0.09,0.36,8月3日,0.08,8月21日
06176P富邦26,6190,21000,3,0.29,0.29,0.29,0.3,8月27日,0.29,8月27日
06177P富邦32,165770,877000,36,0.19,0.18,0.17,0.26,8月1日,0.15,8月23日
06178P87元大,2200,10000,1,0.22,0.22,0.22,0.22,8月6日,0.22,8月6日
06179P91元大,162660,600000,10,0.27,0.24,0.2,0.31,8月1日,0.2,8月13日
06180P92元大,429450,726000,76,0.59,0.55,0.45,0.87,8月3日,0.39,8月21日
06182P群益6X,2254490,4457000,78,0.51,0.45,0.31,0.6,8月3日,0.31,8月29日
06183P群益6Z,2496700,4288000,108,0.58,0.52,0.34,0.86,8月1日,0.3,8月24日
06184P群益7C,393490,1850000,75,0.21,0.21,0.15,0.32,8月6日,0.14,8月28日
06185P群益7D,2405500,8778000,188,0.27,0.28,0.18,0.44,8月6日,0.16,8月27日
06186P群益7E,2529990,2621000,111,0.97,0.96,0.84,1.58,8月7日,0.68,8月27日
06187P元富N5,285230,555000,26,0.51,0.5,0.43,0.71,8月1日,0.37,8月24日
06188P元富N9,7001710,32266000,549,0.22,0.2,0.04,0.65,8月1日,0.03,8月29日
06189P元富AA,1832800,1436000,49,1.28,1.44,1.21,2.44,8月3日,1.11,8月24日
06190P元富AF,10697890,9744000,276,1.1,1.22,0.99,1.63,8月1日,0.96,8月30日
06191P元富AJ,113070,34000,7,3.33,3.26,3.08,3.49,8月8日,3.08,8月28日
06192P凱基DQ,514720,660000,11,0.78,0.78,0.77,0.84,8月30日,0.72,8月28日
06193P7I永豐,4603380,6335000,117,0.73,0.67,0.57,0.86,8月8日,0.53,8月30日
06196P大華EP,238580,172000,15,1.39,1.41,1.34,1.77,8月6日,1.17,8月24日
06197P大華EQ,325250,305000,15,1.07,0.96,0.8,1.21,8月3日,0.72,8月22日
06198P元大1D,365760,391000,12,0.94,0.85,0.57,1.08,8月1日,0.57,8月22日
06199P元大1E,208180,808000,29,0.26,0.26,0.23,0.3,8月1日,0.22,8月29日
06200P元大1F,99110,213000,27,0.47,0.57,0.33,0.68,8月3日,0.33,8月31日
06201P元大1G,2662100,9516000,247,0.28,0.25,0.13,0.75,8月3日,0.11,8月30日
06202P元大1H,2260620,4657000,126,0.49,0.43,0.29,0.88,8月24日,0.29,8月31日
06203P日盛ZN,203730,606000,22,0.34,0.37,0.31,0.55,8月1日,0.29,8月16日
06204P日盛ZP,1063450,1650000,53,0.64,0.69,0.82,0.86,8月29日,0.54,8月15日
06205P日盛ZQ,12920,17000,5,0.76,0.76,0.76,0.88,8月20日,0.7,8月10日
06207P元富BC,1224900,1784000,104,0.69,0.62,0.77,0.85,8月29日,0.45,8月21日
06208P元富BD,2823340,8234000,166,0.34,0.34,0.18,0.65,8月1日,0.17,8月31日
06209P元富BJ,362200,1022000,16,0.35,0.36,0.32,0.4,8月3日,0.32,8月30日
06210P元富BK,3036890,11891000,205,0.26,0.24,0.17,0.36,8月3日,0.12,8月8日
06211P元富BL,514010,462000,7,1.11,1.18,1.09,1.33,8月7日,1.09,8月16日
06212P元富BN,33600,100000,3,0.34,0.31,0.2,0.47,8月6日,0.2,8月22日
06213P群益7F,273150,180000,14,1.52,1.52,1.5,1.69,8月16日,1.44,8月29日
06214P群益7Q,4150770,5025000,238,0.83,0.8,1,1.09,8月29日,0.62,8月20日
06215P7V永豐,6030,71000,2,0.08,0.08,0.07,0.09,8月10日,0.07,8月28日
06216P7W永豐,1100,20000,2,0.06,0.06,0.05,0.06,8月9日,0.05,8月10日
06218P7Z永豐,730,9000,3,0.08,0.09,0.07,0.11,8月8日,0.07,8月20日
06219P大華ES,1042110,2465000,62,0.42,0.41,0.24,0.58,8月15日,0.24,8月31日
06220P大華ET,40100,302000,4,0.13,0.12,0.12,0.14,8月28日,0.1,8月24日
06221P中信50,116840,802000,10,0.15,0.17,0.1,0.21,8月15日,0.1,8月27日
06222P中信52,2680130,1458000,127,1.84,1.84,1.8,2.03,8月23日,1.3,8月3日
06223P富邦47,64100,20000,2,3.2,3.2,3.55,3.55,8月13日,2.86,8月3日
06224P富邦49,175220,567000,30,0.31,0.34,0.24,0.69,8月1日,0.24,8月31日
06225P元富AP,1846830,6961000,122,0.27,0.3,0.19,0.59,8月6日,0.16,8月27日
06226P元富AT,18440860,16729000,417,1.1,0.99,0.79,1.44,8月1日,0.73,8月24日
06227P元富AW,5129530,15434000,483,0.33,0.29,0.2,0.51,8月3日,0.2,8月31日
06228P元富AX,558860,412000,6,1.36,1.37,1.38,1.48,8月6日,1.28,8月24日
06229P大華EY,1017360,6752000,111,0.15,0.18,0.09,0.34,8月6日,0.07,8月27日
06230P大華EZ,840,2000,1,0.42,0.42,0.42,0.42,8月9日,0.42,8月9日
06231P大華FB,21900,70000,2,0.31,0.27,0.21,0.33,8月1日,0.21,8月20日
06232P大華FC,188910,699000,27,0.27,0.28,0.15,0.51,8月3日,0.14,8月30日
06233P群益7T,4811360,2487000,82,1.93,2.16,1.92,3.16,8月3日,1.66,8月27日
06234P群益7U,198710,379000,13,0.52,0.66,0.35,1.11,8月3日,0.34,8月21日
06235P群益8B,102800,45000,6,2.28,2.42,2.45,2.68,8月14日,2.01,8月3日
06236P8A永豐,3900,20000,2,0.2,0.2,0.19,0.2,8月28日,0.19,8月30日
06237P8D永豐,31020,334000,13,0.09,0.11,0.04,0.25,8月3日,0.04,8月20日
06239P國泰A6,3988020,5570000,125,0.72,0.61,0.51,0.85,8月7日,0.45,8月22日
06240P國泰A7,8400,280000,4,0.03,0.09,0.02,0.16,8月3日,0.02,8月24日
06241P國泰A8,45680,110000,6,0.42,0.41,0.28,0.51,8月1日,0.28,8月10日
06243P元大1L,1079550,858000,19,1.26,1.07,0.88,1.32,8月3日,0.84,8月24日
06245P凱基DV,335510,602000,36,0.56,0.55,0.64,0.67,8月30日,0.49,8月10日
06246P凱基DY,3223730,1951000,101,1.65,1.78,1.5,2.7,8月3日,1.42,8月23日
06248P統一H2,130650,901000,15,0.15,0.18,0.06,0.39,8月1日,0.06,8月24日
06249P統一H3,1706490,4653000,64,0.37,0.36,0.19,0.52,8月6日,0.19,8月28日
06250P統一H4,218000,151000,8,1.44,1.38,1.41,1.5,8月7日,1.21,8月16日
06251P統一H5,166320,396000,4,0.42,0.42,0.42,0.42,8月8日,0.42,8月8日
06253P元富BV,13671350,12175000,414,1.12,1.14,1.48,1.55,8月29日,0.69,8月14日
06254P元富CE,36930,28000,5,1.32,1.3,1.33,1.34,8月9日,1.25,8月23日
06255P元富CG,10000,5000,1,2,2,2,2,8月21日,2,8月21日
06256P元富CJ,1736050,2074000,57,0.84,0.81,0.76,0.99,8月1日,0.69,8月27日
06257P元富CK,11600,50000,4,0.23,0.24,0.19,0.3,8月6日,0.19,8月10日
06258P8G永豐,52460,796000,28,0.07,0.06,0.06,0.08,8月10日,0.05,8月21日
06259P8I永豐,37500,100000,2,0.38,0.38,0.3,0.45,8月7日,0.3,8月28日
06260P元大1R,733990,161000,23,4.56,4.45,4.28,4.77,8月8日,3.81,8月3日
06261P富邦52,401530,1240000,39,0.32,0.27,0.23,0.39,8月3日,0.17,8月21日
06263P國泰03,4577350,7154000,224,0.64,0.62,0.8,0.85,8月29日,0.43,8月14日
06264P凱基EA,92810,48000,20,1.93,1.91,1.56,2.6,8月3日,1.49,8月21日
06265P凱基ED,2416750,1938000,37,1.25,1.24,0.99,1.43,8月3日,0.99,8月30日
06266P日盛ZV,805190,323000,64,2.49,2.44,2.3,2.72,8月14日,2.06,8月3日
06267P日盛ZX,18050,52000,5,0.35,0.35,0.16,0.48,8月3日,0.16,8月20日
06268P日盛ZZ,673450,2652000,53,0.25,0.27,0.22,0.39,8月1日,0.22,8月29日
06269P國票GI,73650,85000,8,0.87,0.91,0.72,1.04,8月7日,0.71,8月21日
06270P大華FF,1180010,1065000,33,1.11,1.15,1.05,1.45,8月1日,0.99,8月17日
06271P大華FG,130920,204000,3,0.64,0.63,0.53,0.73,8月1日,0.53,8月14日
06272P8J永豐,79440,1344000,28,0.06,0.06,0.04,0.09,8月7日,0.03,8月27日
06273P8K永豐,408260,634000,24,0.64,0.54,0.44,0.76,8月7日,0.41,8月27日
06274P群益8I,635420,1001000,7,0.63,0.56,0.52,0.67,8月7日,0.52,8月21日
06275P群益8J,2843460,3979000,117,0.71,0.68,0.67,1.05,8月24日,0.39,8月22日
06276P群益8K,45890,46000,10,1,1.03,0.96,1.49,8月3日,0.81,8月27日
06277P群益8L,5302370,5497000,213,0.96,1.07,0.5,3.71,8月3日,0.37,8月27日
06278P元大1S,1050,15000,1,0.07,0.07,0.07,0.07,8月14日,0.07,8月14日
06279P大華FN,445970,1434000,42,0.31,0.32,0.18,0.47,8月3日,0.18,8月29日
06280P大華FP,77220,99000,1,0.78,0.78,0.78,0.78,8月28日,0.78,8月28日
06282P元富CP,2110030,7883000,94,0.27,0.27,0.27,0.31,8月15日,0.23,8月28日
06284P元富CR,216850,418000,36,0.52,0.54,0.65,0.65,8月31日,0.46,8月22日
06285P元富CS,237520,719000,15,0.33,0.35,0.41,0.41,8月29日,0.29,8月21日
06286P元富CV,8747410,5340000,191,1.64,1.64,1.39,2.46,8月3日,1.2,8月27日
06287P群益8Q,128520,357000,19,0.36,0.36,0.42,0.42,8月31日,0.29,8月15日
06288P群益8X,406260,934000,20,0.43,0.38,0.22,0.49,8月15日,0.22,8月31日
06290P8S永豐,1834780,8812000,110,0.21,0.22,0.26,0.28,8月29日,0.17,8月14日
06291P8T永豐,77610,74000,17,1.05,1.29,1.23,1.48,8月14日,0.94,8月1日
06293P日盛03,539540,367000,42,1.47,1.43,1.33,1.59,8月8日,1.16,8月3日
06294P日盛04,5904860,5780000,274,1.02,0.99,0.9,1.33,8月1日,0.79,8月22日
06295P日盛05,107050,275000,13,0.39,0.36,0.4,0.46,8月3日,0.28,8月13日
06297P統一H8,4189760,2648000,154,1.58,1.71,1.61,2.9,8月3日,1.36,8月27日
06298P工銀57,69550,25000,3,2.78,2.88,2.72,3.03,8月21日,2.72,8月28日
06299P工銀58,775900,1650000,123,0.47,0.51,0.43,0.82,8月3日,0.35,8月27日
06300P元大2E,365990,160000,9,2.29,2.36,2.39,2.53,8月8日,2.05,8月1日
06301P元大2F,1427310,408000,8,3.5,3.6,3.9,3.97,8月8日,3.1,8月3日
06302P元大2G,1685430,2683000,73,0.63,0.58,0.48,0.8,8月7日,0.4,8月22日
06303P元大2H,924860,3351000,68,0.28,0.29,0.08,0.66,8月1日,0.08,8月28日
06304P元大2I,1971760,399000,44,4.94,5.05,4.89,5.7,8月8日,3.41,8月1日
06305P元大2J,8082600,3293000,143,2.45,2.48,2.37,2.85,8月7日,1.85,8月1日
06306P元大2K,440420,865000,44,0.51,0.5,0.4,0.64,8月3日,0.4,8月31日
06307P元大2L,446260,980000,27,0.46,0.48,0.47,0.55,8月1日,0.43,8月27日
06308P元富DE,566940,544000,16,1.04,1.4,1.01,2.16,8月3日,1.01,8月31日
06309P元富DF,87000,213000,3,0.41,0.4,0.4,0.41,8月1日,0.4,8月31日
06310P元富DG,968030,1409000,35,0.69,0.75,0.73,0.92,8月3日,0.58,8月23日
06311P元富DH,212830,580000,30,0.37,0.37,0.26,0.54,8月3日,0.24,8月28日
06312P元富DJ,1740940,2270000,39,0.77,0.73,0.65,0.85,8月3日,0.64,8月13日
06313P元富DK,12050,53000,4,0.23,0.24,0.19,0.29,8月1日,0.19,8月17日
06314P元富DL,1066000,1577000,30,0.68,0.68,0.63,0.85,8月3日,0.57,8月16日
06315P元富DU,1204850,3511000,65,0.34,0.32,0.26,0.4,8月3日,0.26,8月31日
06316P元富DW,168000,300000,4,0.56,0.56,0.53,0.59,8月7日,0.53,8月9日
06317P凱基EL,96380,448000,15,0.22,0.22,0.15,0.34,8月1日,0.15,8月27日
06318P富邦63,892200,350000,53,2.55,2.53,2.23,2.84,8月8日,1.98,8月3日
06319P富邦65,8500,20000,2,0.42,0.42,0.44,0.44,8月3日,0.41,8月1日
06320P富邦69,71290,552000,15,0.13,0.13,0.08,0.15,8月13日,0.08,8月21日
06322P統一J4,181900,190000,17,0.96,0.96,0.76,1.28,8月3日,0.75,8月22日
06324P8X永豐,1052400,2011000,76,0.52,0.52,0.4,1.08,8月3日,0.31,8月27日
06325P8Y永豐,339860,1948000,39,0.17,0.19,0.14,0.3,8月7日,0.13,8月30日
06327P群益9B,610510,1812000,63,0.34,0.36,0.11,0.69,8月1日,0.09,8月24日
06330P群益9E,99500,196000,16,0.51,0.51,0.59,0.68,8月29日,0.39,8月14日
06332P群益9I,3736140,2383000,129,1.57,1.59,1.9,1.95,8月29日,1.33,8月14日
06333P群益9J,1096290,1504000,38,0.73,0.75,0.87,0.93,8月29日,0.63,8月14日
06334P國票GL,2800,60000,3,0.05,0.05,0.04,0.06,8月13日,0.04,8月29日
06336P國票GN,1784480,3112000,61,0.57,0.66,0.49,1.23,8月7日,0.38,8月27日
06337P國票GP,333980,332000,9,1.01,1,0.99,1.06,8月8日,0.92,8月20日
06338P大華FR,1850,15000,2,0.12,0.12,0.12,0.13,8月17日,0.12,8月23日
06339P元富EB,35060,37000,9,0.95,0.95,0.91,1.18,8月10日,0.85,8月21日
06340P元富EC,9759420,13420000,253,0.73,0.64,0.54,0.96,8月7日,0.51,8月31日
06341P凱基EN,893440,1096000,88,0.82,0.84,1.03,1.08,8月28日,0.62,8月14日
06342P凱基EP,11050750,9650000,209,1.15,1.12,1.37,1.44,8月29日,0.82,8月14日
06343P凱基EQ,3961420,12483000,258,0.32,0.31,0.2,0.49,8月3日,0.2,8月31日
06345P中信65,6323850,9144000,207,0.69,0.6,0.38,0.93,8月6日,0.35,8月27日
06346P中信68,1347690,1420000,39,0.95,0.97,0.84,1.21,8月1日,0.83,8月17日
06347P日盛09,1803090,3274000,59,0.55,0.54,0.63,0.7,8月3日,0.43,8月15日
06348P日盛10,263900,170000,10,1.55,1.54,1.29,1.98,8月3日,1.29,8月31日
06349P日盛11,93110,190000,13,0.49,0.49,0.4,0.56,8月3日,0.4,8月29日
06350P富邦80,76810,242000,11,0.32,0.34,0.23,0.51,8月3日,0.23,8月31日
06352P元富EG,1106220,1062000,31,1.04,1,0.98,1.13,8月3日,0.89,8月15日
06353P元富EH,9480,22000,2,0.43,0.44,0.39,0.48,8月13日,0.39,8月29日
06354P元富EK,343030,132000,19,2.6,2.55,2.42,2.89,8月8日,2.11,8月3日
06355P元富EM,3016330,8049000,282,0.37,0.35,0.25,0.53,8月6日,0.23,8月27日
06357P9Q永豐,269640,395000,14,0.68,0.74,0.73,0.95,8月7日,0.65,8月17日
06358P9V永豐,5260,82000,5,0.06,0.06,0.03,0.11,8月1日,0.02,8月30日
06360P元大3R,5595400,6461000,175,0.87,0.84,0.64,1.18,8月1日,0.64,8月31日
06361P元大3S,1455080,4611000,142,0.32,0.29,0.17,0.45,8月1日,0.16,8月29日
06362PB1永豐,12800,517000,48,0.02,0.03,0.01,0.08,8月1日,0.01,8月30日
06363P國泰10,2341840,4689000,107,0.5,0.44,0.52,0.57,8月29日,0.3,8月16日
06364P元大3T,176240,1152000,31,0.15,0.22,0.22,0.35,8月27日,0.13,8月30日
06365P元大3U,638870,2084000,54,0.31,0.33,0.09,0.64,8月1日,0.09,8月30日
06366P元大3V,1199450,5358000,96,0.22,0.2,0.13,0.26,8月13日,0.13,8月24日
06367P元大3W,7663340,4204000,147,1.82,1.86,1.96,2.39,8月24日,1.41,8月17日
06368P元大3X,684670,936000,41,0.73,0.76,0.69,0.92,8月3日,0.66,8月9日
06369P康和FL,387770,111000,23,3.49,3.46,3.72,4.1,8月8日,2.64,8月1日
06370P中信69,3000,20000,1,0.15,0.15,0.15,0.15,8月3日,0.15,8月3日
06371P中信71,82176050,18786000,827,4.37,4.42,3.75,6.15,8月7日,3.07,8月1日
06373P凱基EZ,920140,3108000,45,0.3,0.33,0.24,0.54,8月6日,0.2,8月23日
06374P凱基FA,170,1000,1,0.17,0.17,0.17,0.17,8月1日,0.17,8月1日
06375P凱基FB,58610,111000,6,0.53,0.55,0.41,0.72,8月3日,0.4,8月23日
06376P富邦85,236620,218000,6,1.09,1.12,0.97,1.23,8月1日,0.97,8月9日
06377P富邦86,2500,5000,1,0.5,0.5,0.5,0.5,8月23日,0.5,8月23日
06378P統一J7,956130,1578000,33,0.61,0.58,0.71,0.71,8月31日,0.48,8月13日
06379P統一J9,525610,572000,16,0.92,0.88,0.86,1.1,8月3日,0.71,8月22日
06380P統一K1,58610,54000,6,1.09,1.09,1.04,1.14,8月3日,1.04,8月8日
06381P凱基FG,6142090,11430000,301,0.54,0.63,0.26,1.7,8月1日,0.26,8月31日
06382P凱基FM,7147140,4324000,119,1.65,1.86,1.51,3.61,8月3日,1.25,8月27日
06383P凱基FN,1969010,1121000,118,1.76,1.22,0.45,3.62,8月3日,0.45,8月27日
06384P大華GB,316640,323000,5,0.98,0.98,0.97,1.01,8月13日,0.95,8月14日
06386P國票GR,1983620,4588000,94,0.43,0.47,0.58,0.6,8月28日,0.36,8月14日
06387PB5永豐,81590,109000,21,0.75,0.74,0.7,0.87,8月7日,0.61,8月16日
06388PB7永豐,10450,50000,3,0.21,0.22,0.21,0.24,8月10日,0.2,8月21日
06390P元大2W,1932040,6728000,297,0.29,0.29,0.11,0.55,8月3日,0.11,8月31日
06391P元大2X,2355650,460000,46,5.12,4.91,4.2,5.9,8月1日,4.2,8月30日
06392P元大2Y,11753670,26467000,519,0.44,0.44,0.33,0.62,8月6日,0.31,8月27日
06393P元大2Z,1209400,2200000,99,0.55,0.55,0.39,0.76,8月8日,0.38,8月28日
06394P工銀66,990540,628000,21,1.58,1.46,1.12,1.74,8月8日,1.12,8月31日
06395P富邦91,2613300,2701000,111,0.97,1.02,0.88,1.36,8月1日,0.82,8月24日
06397P群益9T,722750,1059000,47,0.68,0.68,0.76,0.78,8月29日,0.6,8月9日
06398P群益9U,58540,229000,7,0.26,0.29,0.28,0.34,8月6日,0.25,8月14日
06399P群益9V,2883100,10240000,205,0.28,0.29,0.2,0.44,8月6日,0.18,8月29日
06400P群益9W,3621850,2368000,37,1.53,1.63,1.62,1.79,8月6日,1.44,8月16日
06401P群益9Y,465230,762000,42,0.61,0.59,0.5,0.8,8月1日,0.48,8月23日
06402P群益9Z,15290,22000,2,0.7,0.7,0.69,0.7,8月17日,0.69,8月20日
06403P群益AA,15800,248000,9,0.06,0.12,0.05,0.23,8月1日,0.05,8月21日
06404PC3永豐,115450,560000,15,0.21,0.2,0.1,0.31,8月1日,0.1,8月28日
06405P日盛14,9394670,3489000,103,2.69,2.6,2.34,3.9,8月3日,2.01,8月27日
06406P大華GE,18500,100000,2,0.18,0.18,0.19,0.19,8月30日,0.18,8月20日
06407P大華GF,46100,300000,6,0.15,0.15,0.16,0.17,8月7日,0.13,8月3日
06408P元富ER,85000,231000,6,0.37,0.32,0.22,0.4,8月7日,0.22,8月29日
06409P元富ES,113740,484000,7,0.24,0.24,0.24,0.24,8月8日,0.23,8月6日
06410P元富FA,105900,160000,11,0.66,0.66,0.65,0.79,8月7日,0.61,8月22日
06411P元富FB,44130,112000,4,0.39,0.39,0.4,0.4,8月28日,0.38,8月21日
06412P元富FC,201350,538000,22,0.37,0.33,0.26,0.44,8月3日,0.26,8月29日
06413P元富FD,278190,668000,29,0.42,0.37,0.34,0.46,8月3日,0.31,8月17日
06414P元富FG,8272450,3754000,142,2.2,1.94,1.08,5.6,8月3日,0.81,8月27日
06415P元富FM,12560,22000,3,0.57,0.6,0.56,0.68,8月9日,0.56,8月28日
06416P元大4J,1080,3000,1,0.36,0.36,0.36,0.36,8月21日,0.36,8月21日
06417P元大4K,480150,1144000,46,0.42,0.43,0.45,0.59,8月3日,0.32,8月17日
06418P元大4L,884960,3043000,71,0.29,0.33,0.19,0.57,8月1日,0.19,8月31日
06419P元大4M,456760,2219000,52,0.21,0.21,0.19,0.29,8月7日,0.17,8月28日
06420P元大4N,860670,1614000,78,0.53,0.52,0.46,0.67,8月8日,0.44,8月30日
06421P元大4Z,547770,2059000,79,0.27,0.27,0.22,0.43,8月1日,0.16,8月6日
06422P元大5A,203100,354000,19,0.57,0.53,0.56,0.6,8月30日,0.45,8月29日
06423P元大5B,263770,613000,26,0.43,0.44,0.42,0.54,8月1日,0.37,8月21日
06424P元大5C,1815400,5143000,159,0.35,0.36,0.43,0.45,8月29日,0.27,8月14日
06425P國泰11,1001850,1272000,37,0.79,0.78,0.72,0.91,8月6日,0.7,8月9日
06426P國泰12,773970,3365000,96,0.23,0.21,0.15,0.3,8月13日,0.14,8月31日
06427P國泰13,1017250,2729000,70,0.37,0.38,0.32,0.54,8月3日,0.29,8月27日
06428P國泰14,893890,1100000,53,0.81,0.81,0.86,0.89,8月28日,0.66,8月15日
06429P國泰15,215330,276000,11,0.78,0.79,0.73,1.03,8月3日,0.69,8月23日
06430P中信75,2408760,9460000,189,0.25,0.27,0.19,0.57,8月3日,0.15,8月21日
06431P工銀67,133780,122000,9,1.1,1.11,1.02,1.23,8月9日,1,8月16日
06432P工銀68,183150,1881000,19,0.1,0.13,0.05,0.21,8月16日,0.05,8月29日
06433P富邦98,1893420,3036000,93,0.62,0.62,0.48,0.81,8月7日,0.48,8月31日
06434P富邦A1,56450,175000,13,0.32,0.3,0.23,0.45,8月1日,0.23,8月31日
06435P康和FQ,242140,389000,9,0.62,0.5,0.19,0.75,8月1日,0.19,8月24日
06436P康和FR,9260490,4146000,76,2.23,2.15,1.89,2.64,8月6日,1.76,8月24日
06437P康和FS,1278150,1190000,52,1.07,1.04,0.7,1.55,8月1日,0.7,8月29日
06438P日盛19,3841060,15816000,267,0.24,0.24,0.07,1.06,8月3日,0.06,8月27日
06439P日盛20,1758770,3370000,75,0.52,0.47,0.34,0.6,8月1日,0.33,8月21日
06440P凱基FR,126300,111000,15,1.14,1.17,1.06,1.49,8月1日,1.04,8月30日
06441P凱基FS,1234490,472000,50,2.62,2.49,2.18,2.89,8月7日,1.92,8月1日
06442PC8永豐,76850,335000,25,0.23,0.24,0.17,0.31,8月3日,0.16,8月21日
06443PC9永豐,900,10000,1,0.09,0.09,0.09,0.09,8月29日,0.09,8月29日
06444PD2永豐,1690,13000,1,0.13,0.13,0.13,0.13,8月31日,0.13,8月31日
