,民國101年09月,,,,,,,Sep-12,,,
證  券  名  稱,成   交   值,成  交  量,成交筆數,均    價,收盤均價,月    底,盤中最高價,,盤中最低價,,成 交 量
,,,,(註一),(註二),收 盤 價,,日    期,,日    期,週轉率(％)
Security's,Trading,Trading,No. of,Average,Cls. Avg.,End-of-,Monthly,Date of,Monthly,Date of,Volume
Code & Name,Value,Volume,Trans.,Price,Price,Month,High,Monthly,Low,Monthly,Turnover
,,,,(Note 1),(Note 2),Closing,,High,,Low,Rate(％)
01 水泥工業類,,,,,,,,,,,
Cement,,,,,,,,,,,
055932日盛C8,31840,26000,4,1.22,1.22,1.13,1.32,9月24日,1.13,9月26日
055933國泰2V,120890,110000,5,1.1,1.11,1.09,1.16,9月28日,1.09,9月28日
055935日盛D1,118800,150000,7,0.79,0.78,0.69,1,9月25日,0.68,9月27日
055936群益H6,350830,409000,6,0.86,0.86,0.88,0.88,9月28日,0.8,9月27日
055940群益I3,156700,140000,5,1.12,1.06,1.06,1.23,9月28日,1.06,9月28日
055941群益I4,12900,10000,1,1.29,1.29,1.29,1.29,9月28日,1.29,9月28日
055943永豐67,13000,20000,2,0.65,0.65,0.67,0.67,9月27日,0.63,9月26日
055944永豐68,24480,40000,7,0.61,0.57,0.56,0.75,9月27日,0.54,9月28日
055945元富9X,3525580,2819000,45,1.25,1.3,1.33,1.59,9月25日,1.16,9月26日
055946元富9Y,241560,198000,2,1.22,1.22,1.22,1.22,9月28日,1.22,9月28日
055947元富9Z,138310,102000,11,1.36,1.26,1.25,1.46,9月25日,1.22,9月27日
055949J6凱基,23800,20000,1,1.19,1.19,1.19,1.19,9月26日,1.19,9月26日
055950大華6I,18400,15000,3,1.23,1.2,1.21,1.27,9月27日,1.2,9月26日
055951大華6J,275650,272000,7,1.01,1.02,1.02,1.04,9月28日,0.99,9月28日
055953大華6L,176850,403000,26,0.44,0.46,0.38,0.57,9月25日,0.38,9月28日
055954MF元大,4500,3000,1,1.5,1.5,1.5,1.5,9月28日,1.5,9月28日
055963亞東96,8300,10000,1,0.83,0.83,0.83,0.83,9月25日,0.83,9月25日
055964亞東97,15720,21000,3,0.75,0.72,0.72,0.76,9月26日,0.72,9月26日
055965亞東98,75320,172000,9,0.44,0.43,0.44,0.45,9月26日,0.41,9月27日
055966亞東99,119060,150000,10,0.79,0.78,0.73,0.99,9月25日,0.67,9月28日
055967亞東A1,1480,2000,1,0.74,0.74,0.74,0.74,9月27日,0.74,9月27日
055968亞東A2,45140,61000,12,0.74,0.74,0.73,0.78,9月25日,0.71,9月27日
055969亞東A3,1422310,1732000,37,0.82,0.81,0.76,0.92,9月26日,0.73,9月28日
055970亞東A4,3920,6000,3,0.65,0.64,0.62,0.69,9月25日,0.62,9月26日
055971亞東A5,15300,21000,6,0.73,0.73,0.71,0.75,9月27日,0.71,9月28日
055972亞東A6,2600,4000,2,0.65,0.65,0.65,0.65,9月27日,0.65,9月27日
055973亞東A7,2300,2000,2,1.15,1.16,1.16,1.16,9月28日,1.14,9月28日
055974亞東A9,699270,666000,12,1.05,1.08,1.17,1.17,9月28日,0.9,9月27日
055976亞東B4,54530,66000,12,0.83,0.84,0.86,0.86,9月28日,0.79,9月27日
055977兆豐FN,508420,2590000,39,0.2,0.2,0.2,0.26,9月25日,0.17,9月27日
055979兆豐FQ,6140,12000,2,0.51,0.52,0.52,0.52,9月28日,0.51,9月28日
055980兆豐FR,204970,603000,15,0.34,0.34,0.34,0.35,9月25日,0.32,9月28日
055982兆豐FT,760,2000,1,0.38,0.38,0.38,0.38,9月27日,0.38,9月27日
055984兆豐FV,6200,10000,1,0.62,0.62,0.62,0.62,9月27日,0.62,9月27日
055985兆豐FW,77900,142000,6,0.55,0.53,0.5,0.61,9月25日,0.48,9月27日
055986國泰2W,14600,20000,2,0.73,0.73,0.76,0.76,9月27日,0.7,9月26日
055987國泰2X,433330,416000,6,1.04,1.03,1.02,1.08,9月27日,1,9月26日
05598804元富,5980,6000,3,1,0.99,1,1,9月28日,0.98,9月27日
055989J7凱基,139200,160000,2,0.87,0.87,0.85,0.89,9月27日,0.85,9月28日
055990MJ元大,363580,230000,22,1.58,1.53,1.62,1.62,9月28日,1.44,9月27日
055991MK元大,418640,103000,14,4.06,4.39,3.87,5.7,9月26日,3.7,9月28日
055992ML元大,62640,116000,8,0.54,0.52,0.53,0.59,9月26日,0.51,9月26日
055993永豐71,79070,155000,8,0.51,0.56,0.49,0.67,9月26日,0.49,9月28日
055994永豐72,21000,25000,2,0.84,0.84,0.84,0.84,9月28日,0.84,9月28日
055995永豐73,107600,150000,10,0.72,0.72,0.71,0.74,9月28日,0.65,9月27日
055996康和KL,291820,271000,19,1.08,1.06,0.82,1.25,9月26日,0.82,9月28日
055997日盛D2,276140,298000,4,0.93,0.93,0.91,0.95,9月26日,0.89,9月27日
055998日盛D3,48490,57000,2,0.85,0.86,0.85,0.87,9月27日,0.85,9月28日
056001日盛D6,183010,248000,8,0.74,0.72,0.72,0.78,9月28日,0.68,9月27日
056002統一HC,8700,10000,1,0.87,0.87,0.87,0.87,9月28日,0.87,9月28日
056004統一HE,4060,4000,4,1.02,1.02,1.02,1.02,9月28日,1.01,9月27日
056005中信M7,1900,1000,1,1.9,1.9,1.9,1.9,9月28日,1.9,9月28日
056007中信M9,36200,20000,2,1.81,1.81,1.91,1.91,9月28日,1.71,9月27日
05601186富邦,109890,99000,1,1.11,1.11,1.11,1.11,9月28日,1.11,9月28日
05601388富邦,1540,1000,1,1.54,1.54,1.54,1.54,9月28日,1.54,9月28日
05601489富邦,1390,1000,1,1.39,1.39,1.39,1.39,9月26日,1.39,9月26日
056018日盛E1,1860,3000,1,0.62,0.62,0.62,0.62,9月27日,0.62,9月27日
056021大華6N,37000,50000,1,0.74,0.74,0.74,0.74,9月28日,0.74,9月28日
056023群益I9,8850,15000,2,0.59,0.6,0.57,0.63,9月27日,0.57,9月28日
056024群益J1,17370,31000,4,0.56,0.56,0.55,0.57,9月28日,0.55,9月28日
056032兆豐FX,130490,263000,8,0.5,0.5,0.49,0.52,9月27日,0.46,9月28日
056033兆豐FY,45020,80000,4,0.56,0.57,0.57,0.57,9月28日,0.56,9月28日
056034兆豐FZ,4740,6000,2,0.79,0.79,0.79,0.79,9月28日,0.79,9月28日
056035兆豐GA,2070,6000,2,0.34,0.34,0.34,0.35,9月28日,0.34,9月28日
05603608元富,7180,6000,4,1.2,1.18,1.21,1.22,9月27日,1.15,9月27日
05603813元富,96800,70000,5,1.38,1.35,1.35,1.42,9月28日,1.35,9月28日
05604015元富,186120,198000,2,0.94,0.93,0.93,0.95,9月28日,0.93,9月28日
05604116元富,990,1000,1,0.99,0.99,0.99,0.99,9月28日,0.99,9月28日
056042MM元大,44450,45000,3,0.99,0.98,1.01,1.03,9月28日,0.94,9月27日
056043MN元大,527480,788000,10,0.67,0.67,0.66,0.68,9月27日,0.66,9月28日
056046中信N2,51520,32000,1,1.61,1.61,1.61,1.61,9月27日,1.61,9月27日
056047中信N3,1080,1000,1,1.08,1.08,1.08,1.08,9月28日,1.08,9月28日
05605192富邦,10100,10000,1,1.01,1.01,1.01,1.01,9月27日,1.01,9月27日
05605293富邦,4160,3000,3,1.39,1.38,1.39,1.4,9月27日,1.37,9月27日
05605495富邦,91050,45000,3,2.02,2,1.95,2.09,9月27日,1.95,9月28日
05605818元富,7400,10000,1,0.74,0.74,0.74,0.74,9月28日,0.74,9月28日
056059J8凱基,40950,65000,3,0.63,0.63,0.63,0.63,9月28日,0.63,9月28日
056064MT元大,36450,29000,2,1.26,1.25,1.25,1.26,9月28日,1.25,9月28日
056066第一5M,192060,198000,2,0.97,0.97,0.97,0.97,9月28日,0.97,9月28日
056072永豐84,38600,50000,2,0.77,0.78,0.78,0.78,9月28日,0.76,9月28日
056076日盛E3,10000,10000,1,1,1,1,1,9月28日,1,9月28日
056077日盛E4,7000,10000,1,0.7,0.7,0.7,0.7,9月28日,0.7,9月28日
056080日盛E7,7400,5000,1,1.48,1.48,1.48,1.48,9月28日,1.48,9月28日
05701P3L富邦,140170,623000,9,0.22,0.3,0.08,0.48,9月5日,0.08,9月26日
05702P3M富邦,721850,3776000,71,0.19,0.13,0.01,0.28,9月6日,0.01,9月28日
05706P凱基57,108290,1102000,28,0.1,0.1,0.05,0.18,9月3日,0.05,9月6日
05709P凱基64,136060,231000,9,0.59,0.57,0.61,0.62,9月6日,0.51,9月4日
05710P凱基65,214500,852000,20,0.25,0.24,0.27,0.28,9月6日,0.18,9月4日
05713P3S富邦,77860,34000,1,2.29,2.29,2.29,2.29,9月3日,2.29,9月3日
05716P凱基40,2320,232000,5,0.01,0.01,0.01,0.01,9月7日,0.01,9月7日
05727P凱基79,300,30000,3,0.01,0.01,0.01,0.01,9月11日,0.01,9月11日
05728P凱基85,3600,360000,39,0.01,0.01,0.01,0.01,9月12日,0.01,9月12日
05739P8S元大,15150970,19384000,535,0.78,0.7,0.45,0.97,9月10日,0.42,9月24日
05747P4J富邦,3590,2000,2,1.8,1.8,1.77,1.82,9月10日,1.77,9月13日
05770P群益18,1200,120000,2,0.01,0.01,0.01,0.01,9月14日,0.01,9月14日
05777P群益31,1669030,3499000,130,0.48,0.38,0.06,0.65,9月6日,0.06,9月17日
05778P群益32,13000,100000,2,0.13,0.13,0.13,0.13,9月3日,0.13,9月3日
05779P凱基90,69520,176000,31,0.4,0.4,0.23,0.56,9月13日,0.23,9月14日
05780P凱基91,249460,227000,10,1.1,1.5,0.59,1.95,9月10日,0.59,9月14日
05781P凱基92,2102830,938000,25,2.24,1.98,1.03,2.62,9月5日,1.03,9月17日
05782P9P元大,200200,280000,11,0.72,0.71,0.75,0.78,9月12日,0.62,9月4日
05786P4U富邦,508800,963000,42,0.53,0.54,0.3,0.87,9月6日,0.25,9月14日
05794P9Z元大,18120,902000,23,0.02,0.02,0.01,0.05,9月3日,0.01,9月17日
05806P凱基C3,47000,188000,1,0.25,0.25,0.25,0.25,9月17日,0.25,9月17日
05812PC2元大,11014300,25421000,412,0.43,0.42,0.28,0.56,9月10日,0.25,9月24日
05822P群益48,101490,577000,14,0.18,0.15,0.01,0.34,9月6日,0.01,9月25日
05824PD4元大,5500,341000,8,0.02,0.01,0.01,0.02,9月5日,0.01,9月27日
05861PE3元大,19060,1906000,26,0.01,0.01,0.01,0.01,9月28日,0.01,9月28日
05863P5U富邦,400,20000,2,0.02,0.02,0.02,0.02,9月4日,0.02,9月4日
05868PE7元大,2200,55000,1,0.04,0.04,0.04,0.04,9月10日,0.04,9月10日
05871P群益75,2120,113000,3,0.02,0.01,0.01,0.02,9月3日,0.01,9月3日
05874P群益79,34510,18000,3,1.92,1.94,2.07,2.07,9月10日,1.82,9月6日
05877PE9元大,600,60000,2,0.01,0.01,0.01,0.01,9月3日,0.01,9月3日
05878P寶來F8,934750,689000,35,1.36,1.37,1.4,1.58,9月6日,1.19,9月19日
05879P寶來G2,6400,5000,1,1.28,1.28,1.28,1.28,9月4日,1.28,9月4日
05880P日盛LT,15090,5000,3,3.02,3.02,3.02,3.02,9月4日,3.01,9月4日
05881P兆豐KS,9785510,14943000,337,0.65,0.62,0.48,1.05,9月6日,0.39,9月25日
05883P群益96,2540,254000,6,0.01,0.01,0.01,0.01,9月4日,0.01,9月4日
05884P群益98,630,63000,4,0.01,0.01,0.01,0.01,9月4日,0.01,9月4日
05889P5Y富邦,1515910,2010000,94,0.75,0.78,0.35,1.66,9月6日,0.35,9月28日
05892PG4元大,1339990,742000,50,1.81,1.78,1.92,2.76,9月6日,1.45,9月25日
05893P凱基F4,3480,348000,35,0.01,0.01,0.01,0.01,9月5日,0.01,9月5日
05894P凱基F5,3860,386000,46,0.01,0.01,0.01,0.01,9月5日,0.01,9月5日
05895P大華AN,1080,108000,6,0.01,0.01,0.01,0.01,9月5日,0.01,9月5日
05901PG9元大,2450,245000,14,0.01,0.01,0.01,0.01,9月5日,0.01,9月5日
05903P凱基G2,20,2000,1,0.01,0.01,0.01,0.01,9月7日,0.01,9月7日
05910P日盛MT,25120,314000,10,0.08,0.1,0.08,0.13,9月6日,0.07,9月5日
05911P日盛MU,20,2000,2,0.01,0.01,0.01,0.01,9月10日,0.01,9月10日
05912PI2元大,10910,992000,14,0.01,0.01,0.01,0.02,9月6日,0.01,9月27日
05913PI3元大,108000,100000,2,1.08,1.08,1.08,1.08,9月7日,1.08,9月7日
05914P群益1Q,200,2000,1,0.1,0.1,0.1,0.1,9月6日,0.1,9月6日
05916P群益1S,995500,350000,35,2.84,3.11,2.7,3.52,9月6日,2.69,9月10日
05917P群益1T,897180,542000,15,1.66,1.64,1.45,1.9,9月6日,1.44,9月7日
05918P群益2A,860,86000,6,0.01,0.01,0.01,0.01,9月6日,0.01,9月6日
05919P群益2E,21350890,6294000,216,3.39,3.32,3.57,3.67,9月3日,2.94,9月13日
05921P群益2J,1163930,1259000,70,0.92,0.8,0.62,1.12,9月6日,0.51,9月24日
05923P日盛MY,6480,27000,2,0.24,0.24,0.24,0.24,9月7日,0.24,9月7日
05924P國泰LZ,689600,850000,13,0.81,0.9,0.9,0.91,9月5日,0.8,9月5日
05925P凱基G6,129430,285000,21,0.45,0.61,0.22,1.04,9月6日,0.22,9月11日
05926P統一C5,67620,94000,11,0.72,0.8,0.86,0.95,9月10日,0.61,9月5日
05930P永豐93,85130,548000,7,0.16,0.15,0.1,0.17,9月6日,0.1,9月10日
05932P永豐97,55930,349000,6,0.16,0.18,0.21,0.21,9月6日,0.16,9月4日
05935P統一C9,316190,513000,9,0.62,0.53,0.29,0.87,9月6日,0.29,9月13日
05936P凱基G7,469320,580000,20,0.81,0.67,0.16,1.13,9月6日,0.16,9月28日
05937P凱基G8,666440,861000,58,0.77,0.82,0.33,1.62,9月6日,0.33,9月27日
05938P凱基H8,833580,270000,3,3.09,3.08,3.08,3.1,9月7日,3.08,9月7日
05940P日盛NH,29700,311000,11,0.1,0.09,0.04,0.12,9月3日,0.04,9月13日
05941P中信09,296660,1395000,54,0.21,0.2,0.11,0.32,9月7日,0.11,9月13日
05942P中信10,20304150,3104000,41,6.54,6.55,6.5,6.6,9月7日,6.5,9月7日
05944P群益3E,34310,98000,8,0.35,0.33,0.12,0.45,9月6日,0.12,9月13日
05946PJ2元大,1900000,1138000,58,1.67,1.66,1.69,1.78,9月3日,1.56,9月18日
05947P1F永豐,24000,30000,2,0.8,0.81,0.78,0.84,9月5日,0.78,9月6日
05950P1K永豐,7100,44000,8,0.16,0.12,0.03,0.25,9月6日,0.03,9月14日
05954P7H富邦,306090,567000,26,0.54,0.4,0.25,0.59,9月6日,0.25,9月28日
05955P7M富邦,24290,11000,4,2.21,2.28,2.15,2.43,9月6日,2.15,9月14日
05956P大華BM,68700,180000,4,0.38,0.39,0.32,0.46,9月3日,0.32,9月10日
05957P凱基J8,342060,346000,15,0.99,1.06,0.73,1.37,9月6日,0.73,9月14日
05958P7S富邦,274780,736000,46,0.37,0.33,0.19,0.49,9月6日,0.19,9月13日
05959P日盛NM,80120,105000,10,0.76,0.77,0.65,0.88,9月5日,0.65,9月10日
05960P國泰MJ,200,5000,1,0.04,0.04,0.04,0.04,9月5日,0.04,9月5日
05962PJ4元大,103750,3684000,40,0.03,0.02,0.01,0.06,9月3日,0.01,9月18日
05963PJ5元大,1920070,1148000,63,1.67,1.68,1.71,2.2,9月7日,1.49,9月18日
05968P凱基K5,352180,279000,16,1.26,1.44,1.02,1.57,9月5日,1.02,9月18日
05970P大華BT,131890,177000,16,0.75,0.79,0.7,1.17,9月5日,0.67,9月25日
05972P群益3M,12130,189000,10,0.06,0.1,0.04,0.16,9月3日,0.04,9月14日
05973P群益3P,33182200,30310000,834,1.09,1.02,1.25,1.38,9月28日,0.75,9月14日
05974P群益3Q,3738800,1080000,99,3.46,3.47,2.28,4.43,9月6日,2.19,9月17日
05975P群益3R,1100,10000,1,0.11,0.11,0.11,0.11,9月4日,0.11,9月4日
05976P工銀12,76740,142000,11,0.54,0.65,0.35,0.97,9月10日,0.35,9月18日
05979P統一D5,500,5000,1,0.1,0.1,0.1,0.1,9月6日,0.1,9月6日
05980P日盛NV,108580,1060000,34,0.1,0.09,0.01,0.2,9月17日,0.01,9月19日
05981P日盛NW,23960,2396000,31,0.01,0.01,0.01,0.01,9月10日,0.01,9月10日
05982P日盛NX,1800,40000,2,0.04,0.05,0.02,0.07,9月7日,0.02,9月13日
05985P寶來G9,5882420,14441000,244,0.41,0.34,0.41,0.46,9月6日,0.27,9月14日
05986P寶來H1,5133280,14760000,401,0.35,0.32,0.37,0.43,9月6日,0.25,9月25日
05987P寶來H4,162100,100000,6,1.62,1.62,1.56,1.66,9月4日,1.56,9月12日
05988P寶來H8,6438210,25917000,451,0.25,0.24,0.26,0.3,9月3日,0.19,9月21日
05989P寶來J3,7552520,11072000,185,0.68,0.65,0.61,0.87,9月6日,0.45,9月24日
05990P寶來K2,80470,46000,17,1.75,1.76,1.91,2.01,9月12日,1.58,9月18日
05991P寶來K3,1950100,1326000,20,1.47,1.6,1.76,2.26,9月7日,1.24,9月21日
05992P1T永豐,455740,2248000,53,0.2,0.18,0.03,0.28,9月10日,0.03,9月19日
05993P1W永豐,350,35000,1,0.01,0.01,0.01,0.01,9月19日,0.01,9月19日
05995P2C永豐,2460,2000,1,1.23,1.23,1.23,1.23,9月3日,1.23,9月3日
05996P群益3V,9550,10000,3,0.96,0.73,0.74,1.05,9月3日,0.41,9月14日
05997P群益3W,990,30000,5,0.03,0.05,0.01,0.12,9月6日,0.01,9月20日
05998P寶來L1,535070,354000,14,1.51,1.61,1.83,1.83,9月28日,1.41,9月19日
05999P寶來L5,168570,346000,22,0.49,0.5,0.46,0.65,9月10日,0.43,9月17日
06000P寶來L7,687430,3295000,69,0.21,0.21,0.22,0.26,9月17日,0.18,9月20日
06001P寶來L9,2118990,5501000,207,0.39,0.35,0.26,1.3,9月13日,0.25,9月25日
06002P寶來M1,37600,233000,12,0.16,0.14,0.09,0.27,9月6日,0.09,9月24日
06003P寶來M2,435880,2040000,49,0.21,0.16,0.01,0.32,9月6日,0.01,9月20日
06004P寶來M4,7724900,11632000,517,0.66,0.64,0.48,1.01,9月6日,0.44,9月25日
06005P寶來M6,667080,842000,19,0.79,0.67,0.33,1.08,9月5日,0.33,9月28日
06006P寶來M8,345270,294000,9,1.17,1.16,1.21,1.29,9月6日,1.07,9月24日
06007PM2元大,563530,427000,16,1.32,1.32,1.18,1.47,9月5日,1.18,9月17日
06008P凱基L3,39910,419000,12,0.1,0.09,0.01,0.15,9月3日,0.01,9月18日
06009P凱基L5,4260,200000,20,0.02,0.02,0.01,0.07,9月6日,0.01,9月21日
06010P凱基L7,6500,30000,2,0.22,0.28,0.08,0.49,9月6日,0.08,9月19日
06012P中信21,2720,272000,4,0.01,0.01,0.01,0.01,9月17日,0.01,9月17日
06014P2H永豐,2200,5000,1,0.44,0.44,0.44,0.44,9月10日,0.44,9月10日
06015P統一D7,4085160,2015000,205,2.03,1.49,0.54,2.7,9月6日,0.54,9月21日
06016PM3元大,110650,270000,9,0.41,0.51,0.17,0.97,9月6日,0.17,9月21日
06017PM4元大,46780,551000,24,0.08,0.11,0.01,0.25,9月6日,0.01,9月21日
06018PM5元大,276780,650000,28,0.43,0.42,0.02,0.7,9月5日,0.02,9月18日
06019PM6元大,95970,534000,6,0.18,0.15,0.1,0.19,9月5日,0.1,9月10日
06020P群益4I,258960,3356000,87,0.08,0.07,0.01,0.2,9月6日,0.01,9月24日
06021P群益4J,8090240,1927000,187,4.2,4.3,3.63,5.95,9月6日,3.55,9月19日
06022P群益4K,35970,41000,7,0.88,0.82,0.71,0.92,9月19日,0.71,9月24日
06023P寶來N1,752740,1730000,24,0.44,0.42,0.37,0.49,9月12日,0.37,9月26日
06024P寶來N3,144490,252000,19,0.57,0.6,0.53,0.72,9月6日,0.5,9月19日
06025P寶來N7,18648030,19662000,540,0.95,0.94,1.08,1.15,9月28日,0.79,9月14日
06027P寶來AB,400770,288000,17,1.39,1.39,1.47,1.67,9月11日,1.1,9月19日
06028P元富46,1420,22000,2,0.06,0.04,0.01,0.07,9月5日,0.01,9月25日
06029P元富48,591080,3451000,41,0.17,0.14,0.01,0.27,9月3日,0.01,9月24日
06030P元富57,172940,128000,15,1.35,1.38,1.09,1.68,9月11日,1.05,9月5日
06032P兆豐MX,120790,122000,12,0.99,1.07,0.79,1.47,9月6日,0.79,9月20日
06033P8P富邦,10054840,5402000,258,1.86,1.78,1.46,2.67,9月6日,1.29,9月25日
06034P8Q富邦,1082260,1053000,66,1.03,0.96,0.67,1.46,9月6日,0.6,9月24日
06035P中信23,1871670,3580000,141,0.52,0.46,0.02,0.93,9月3日,0.02,9月24日
06036P國泰MU,11640,966000,11,0.01,0.02,0.01,0.03,9月3日,0.01,9月12日
06039P中信26,2000,20000,1,0.1,0.1,0.1,0.1,9月6日,0.1,9月6日
06040P中信27,406260,3944000,90,0.1,0.08,0.03,0.19,9月6日,0.02,9月18日
06041PN2元大,75300,16000,5,4.71,4.26,3.95,5.05,9月4日,3.79,9月18日
06042PN7元大,672890,2510000,43,0.27,0.21,0.01,0.43,9月6日,0.01,9月25日
06044P統一E2,71970,534000,13,0.13,0.65,0.04,1.37,9月3日,0.04,9月25日
06046P大華CA,40310,278000,6,0.14,0.15,0.16,0.16,9月4日,0.13,9月3日
06047P群益4L,56550,24000,4,2.36,2.34,2.47,2.47,9月27日,2.24,9月21日
06048P群益4P,3204520,5569000,70,0.58,0.51,0.29,0.7,9月3日,0.29,9月17日
06049P群益4Q,252800,516000,7,0.49,0.48,0.37,0.63,9月5日,0.32,9月18日
06050P群益4R,138600,396000,4,0.35,0.35,0.35,0.37,9月6日,0.33,9月4日
06052P群益4V,92650,1036000,23,0.09,0.06,0.01,0.14,9月6日,0.01,9月25日
06053P凱基AB,42700,120000,6,0.36,0.36,0.35,0.37,9月12日,0.35,9月13日
06054P凱基AD,466100,143000,5,3.26,3.18,3.02,3.55,9月7日,2.97,9月18日
06055P中信30,57860,41000,6,1.41,1.4,1.55,1.55,9月10日,1.18,9月5日
06056P國泰MX,40,1000,1,0.04,0.04,0.04,0.04,9月10日,0.04,9月10日
06057P國泰MY,3900,130000,4,0.03,0.03,0.03,0.03,9月6日,0.03,9月6日
06058P國泰MZ,343690,349000,24,0.98,0.82,0.24,1.81,9月6日,0.24,9月26日
06060P8X富邦,48940,426000,11,0.11,0.11,0.12,0.12,9月6日,0.1,9月3日
06061P2U永豐,300,15000,2,0.02,0.02,0.02,0.02,9月12日,0.02,9月12日
06062P2V永豐,9500,50000,1,0.19,0.19,0.19,0.19,9月11日,0.19,9月11日
06065P2Y永豐,3950,110000,4,0.04,0.14,0.02,0.2,9月5日,0.02,9月20日
06066PN9元大,66110,44000,22,1.5,1.45,1.78,2,9月13日,1.08,9月19日
06067PX1元大,84360,537000,18,0.16,0.17,0.07,0.38,9月5日,0.07,9月27日
06069P元富76,2494270,919000,15,2.71,2.98,2.82,3.79,9月11日,2.56,9月18日
06070P元富79,496010,5736000,72,0.09,0.08,0.05,0.19,9月3日,0.01,9月24日
06071P元富85,545440,3649000,73,0.15,0.15,0.17,0.25,9月3日,0.08,9月24日
06072P永昌BN,32670,198000,2,0.16,0.16,0.16,0.17,9月18日,0.16,9月19日
06073PX7元大,4800,30000,2,0.16,0.16,0.16,0.16,9月27日,0.16,9月27日
06074PX8元大,5645610,10647000,259,0.53,0.55,0.54,0.73,9月6日,0.38,9月17日
06075PX9元大,477940,773000,310,0.62,0.81,0.62,1.16,9月6日,0.56,9月25日
06076PY1元大,1600,100000,4,0.02,0.02,0.01,0.04,9月4日,0.01,9月13日
06077P元富A3,9360,666000,7,0.01,0.02,0.01,0.02,9月10日,0.01,9月24日
06078P統一E3,31200,20000,2,1.56,1.56,1.55,1.57,9月19日,1.55,9月20日
06079P統一E6,7940,218000,4,0.04,0.06,0.03,0.1,9月5日,0.03,9月20日
06081P3G永豐,184390,349000,21,0.53,0.54,0.26,0.79,9月6日,0.19,9月13日
06083P中信35,1730920,4190000,119,0.41,0.27,0.03,0.62,9月3日,0.03,9月28日
06084P中信36,22080,990000,31,0.02,0.02,0.01,0.23,9月19日,0.01,9月24日
06085P大華CQ,78000,140000,4,0.56,0.55,0.54,0.62,9月3日,0.54,9月7日
06086P寶來AV,2737830,7006000,183,0.39,0.37,0.16,0.62,9月6日,0.16,9月28日
06087P元富C2,86500,1751000,27,0.05,0.05,0.01,0.09,9月6日,0.01,9月24日
06088P元富C3,56880,5198000,72,0.01,0.02,0.01,0.03,9月6日,0.01,9月28日
06089P元富C4,50580,113000,20,0.45,0.4,0.23,0.64,9月11日,0.21,9月17日
06090P元富C7,23890,2389000,29,0.01,0.01,0.01,0.01,9月24日,0.01,9月24日
06091P元富C8,41120,24000,4,1.71,1.87,1.66,2.09,9月13日,1.66,9月19日
06092P元富D3,692010,1527000,37,0.45,0.45,0.26,0.75,9月6日,0.19,9月24日
06093P元富E1,17860,38000,3,0.47,0.47,0.35,0.59,9月14日,0.35,9月17日
06094P元富E2,8389670,6292000,201,1.33,1.24,1.32,1.52,9月5日,0.88,9月21日
06095P元富E3,40740,359000,36,0.11,0.14,0.08,0.47,9月14日,0.06,9月26日
06096P凱基AW,1932430,1460000,91,1.32,1.27,0.64,1.52,9月7日,0.64,9月21日
06097P凱基BC,92900,154000,13,0.6,0.6,0.52,0.69,9月5日,0.51,9月12日
06098P寶來BA,2200,25000,3,0.09,0.08,0.08,0.09,9月27日,0.08,9月27日
06099P寶來BL,68600,152000,7,0.45,0.39,0.29,0.53,9月3日,0.29,9月27日
06101P寶來BR,677790,707000,17,0.96,0.96,0.9,1.04,9月14日,0.85,9月3日
06102P寶來BU,229570,148000,16,1.55,1.5,1.35,1.67,9月3日,1.33,9月21日
06103P寶來BW,680020,4196000,91,0.16,0.14,0.11,0.21,9月6日,0.09,9月25日
06104P寶來BY,5487440,9467000,145,0.58,0.52,0.28,0.8,9月6日,0.28,9月28日
06105P寶來BZ,17565010,30219000,828,0.58,0.57,0.63,0.7,9月3日,0.47,9月21日
06106P寶來CA,1348090,987000,60,1.37,1.39,1.4,1.75,9月6日,1.1,9月21日
06107P9J富邦,9500,50000,1,0.19,0.19,0.19,0.19,9月5日,0.19,9月5日
06109P元富E8,57470,41000,15,1.4,1.41,1.55,1.61,9月13日,1.23,9月17日
06110P元富E9,100,10000,1,0.01,0.01,0.01,0.01,9月27日,0.01,9月27日
06111P元富F5,3026100,2676000,47,1.13,1.14,1.17,1.21,9月4日,1.08,9月7日
06112P國票FV,22200,80000,2,0.28,0.3,0.25,0.36,9月14日,0.25,9月19日
06114P群益5G,147120,172000,25,0.86,0.84,0.83,1.01,9月6日,0.72,9月25日
06116P群益5K,3303210,13758000,308,0.24,0.24,0.09,0.42,9月6日,0.09,9月28日
06117P群益5N,3290470,2917000,60,1.13,1.06,1.2,1.24,9月10日,0.9,9月24日
06118P群益5R,3500,35000,1,0.1,0.1,0.1,0.1,9月14日,0.1,9月14日
06119P群益5S,3018940,2549000,86,1.18,1.1,0.78,1.8,9月6日,0.71,9月24日
06120P群益5T,2553510,4420000,161,0.58,0.47,0.21,1.05,9月6日,0.2,9月25日
06121P9L富邦,2849650,4748000,200,0.6,0.43,0.28,0.84,9月3日,0.15,9月24日
06122P中信38,52860,532000,11,0.1,0.09,0.05,0.15,9月4日,0.05,9月27日
06123PZ5元大,545240,779000,36,0.7,0.54,0.18,0.97,9月3日,0.13,9月25日
06124P永昌BZ,7400,5000,1,1.48,1.48,1.48,1.48,9月24日,1.48,9月24日
06125P02元大,2143030,4257000,123,0.5,0.52,0.54,0.69,9月5日,0.38,9月19日
06126P03元大,1145790,1722000,34,0.67,0.68,0.64,0.82,9月10日,0.54,9月20日
