,民國101年12月,,,,,,,Dec-12,,,
證  券  名  稱,成   交   值,成  交  量,成交筆數,均    價,收盤均價,月    底,盤中最高價,,盤中最低價,,成 交 量
,,,,(註一),(註二),收 盤 價,,日    期,,日    期,週轉率(％)
Security's,Trading,Trading,No. of,Average,Cls. Avg.,End-of-,Monthly,Date of,Monthly,Date of,Volume
Code & Name,Value,Volume,Trans.,Price,Price,Month,High,Monthly,Low,Monthly,Turnover
,,,,(Note 1),(Note 2),Closing,,High,,Low,Rate(％)
01 水泥工業類,,,,,,,,,,,
Cement,,,,,,,,,,,
1459  聯發,47499053,5628896,2223,8.44,8.4,9,9.1,12月26日,7.71,12月3日,1.57
1460  宏遠,60833384,8433028,2662,7.21,7.2,7.28,7.4,12月6日,6.95,12月12日,1.79
1463  強盛,244290234,22386051,5201,10.91,10.41,12,12.1,12月28日,9.9,12月11日,11.88
1464  得力,9625187,1073732,485,8.96,8.92,9.19,9.53,12月26日,8.63,12月10日,0.5
1465  偉全,11058620,879764,390,12.57,12.53,12.6,12.9,12月7日,12.05,12月11日,1.02
1466  聚隆,254756495,13220081,4590,19.27,16.73,20.8,20.95,12月28日,15.7,12月11日,13.88
1467  南緯,40653910,4273259,1343,9.51,9.5,9.68,9.72,12月28日,9.37,12月11日,2.54
1468  昶和,6111857,602031,362,10.15,10.21,10.95,11.2,12月28日,9.6,12月6日,0.38
1469  理隆,1846919,204046,112,9.05,9.16,9.24,9.3,12月19日,8.55,12月10日,0.16
1470  大統染,2675046,207709,109,12.88,12.91,12.5,13.4,12月26日,12.2,12月25日,0.24
1472  三洋紡,53561639,3014794,1369,17.77,17.43,17.6,19.3,12月18日,16.65,12月12日,5.07
1473  台南,125348364,4222706,2450,29.68,29.56,30.25,31.3,12月6日,28.6,12月22日,2.88
1474  弘裕,7145332,1019703,430,7.01,7.01,7.12,7.12,12月28日,6.87,12月10日,0.74
1475  本盟,2368313,284195,158,8.33,7.69,8.95,9,12月28日,7,12月11日,0.87
1476  儒鴻,2475337985,24090215,14937,102.75,103,106.5,107,12月28日,95.9,12月3日,9.79
1477  聚陽,1011175788,11422769,8104,88.52,88.53,90.4,90.6,12月28日,86.1,12月11日,6.92
4414  如興,102639833,10765905,3102,9.53,9.28,9.29,10.2,12月17日,9,12月11日,18.36
4426  利勤,38213292,1480701,908,25.81,25.66,25.5,27.2,12月10日,24.9,12月21日,2.31
05 電機機械類,,,,,,,,,,,
Electric Machinery,,,,,,,,,,,
1503  士電,123182177,3452805,1741,35.68,35.73,36,36.1,12月3日,34.35,12月21日,0.66
1504  東元,2225134765,102722472,36546,21.66,21.71,22.25,22.35,12月28日,20.85,12月3日,5.56
1506  正道,154277267,8495799,3881,18.16,18.3,19.7,19.7,12月28日,17.65,12月7日,6.95
1507  永大,1592030868,30322086,16070,52.5,52.67,53.5,55.1,12月3日,49.5,12月13日,7.38
1512  瑞利,72664574,9669353,2596,7.51,7.42,7.92,7.92,12月28日,7.16,12月18日,5.32
1513  中興電,261054503,16820303,6680,15.52,15.55,15.55,15.8,12月7日,15.25,12月21日,3.5
1514  亞力,51055873,6120839,1806,8.34,8.34,8.49,8.52,12月28日,8.21,12月11日,3.04
1515  力山,45803343,6061669,2054,7.56,7.49,7.75,7.99,12月11日,6.99,12月7日,3.34
1517  利奇,151925632,12755287,3687,11.91,11.88,12.1,12.15,12月28日,11.6,12月3日,5.6
1519  華城,73407480,6237328,2608,11.77,11.78,11.85,12.2,12月6日,11.45,12月3日,2.39
1521  大億,166540063,3809265,2808,43.72,43.9,45,45.9,12月17日,40.35,12月3日,5
1522  堤維西,54285449,5166461,2377,10.51,10.49,10.65,10.75,12月28日,10.2,12月3日,1.64
1524  耿鼎,42381635,6729576,2220,6.3,6.27,6.35,6.55,12月6日,6.17,12月14日,4.14
1525  江申,73675711,1592520,1127,46.26,46.12,46,47.7,12月19日,44.85,12月11日,2.3
1526  日馳,2904812,415953,189,6.98,7,7,7.26,12月22日,6.82,12月20日,0.83
1527  鑽全,45553170,2514291,1292,18.12,18.04,17.75,19.15,12月3日,17.4,12月25日,1.64
1528  恩德,34682910,3427632,1242,10.12,10.13,10.15,10.5,12月12日,9.76,12月11日,2.33
1530  亞崴,24902861,831879,568,29.94,29.9,30.6,30.7,12月28日,29.2,12月18日,0.88
1531  高林股,77404425,4417649,2184,17.52,17.52,18,18,12月28日,16.8,12月3日,2.29
1533  車王電,18872648,1137707,665,16.59,16.57,16.65,17.2,12月6日,16.15,12月14日,1.18
1535  中宇,152798078,2334591,1704,65.45,65.31,66.1,66.8,12月11日,63.9,12月5日,2.02
1536  和大,134395258,7930634,3037,16.95,16.94,17.3,17.55,12月10日,16.4,12月11日,5.01
1537  廣隆,590970307,10379716,5404,56.94,56.72,57.2,58.5,12月14日,55.8,12月24日,12.72
1538  正峰新,59508353,6559046,2957,9.07,9.03,9.02,9.55,12月14日,8.23,12月3日,4.05
1539  巨庭,14640291,2181678,890,6.71,6.41,6.3,7.9,12月4日,6.05,12月11日,3.34
1540  喬福,35141496,1906412,1037,18.43,18.46,18.85,19.05,12月28日,18.1,12月17日,2.23
1541  錩泰,4876343,479205,254,10.18,10.23,10.65,10.85,12月3日,9.89,12月12日,0.61
1560  中砂,309369391,7376797,4543,41.94,41.69,41.05,43.5,12月3日,40.8,12月12日,5.23
1583  程泰,42187480,1042054,708,40.48,39.79,41.8,42.6,12月28日,38.8,12月22日,1.07
1589  F-永冠,96328402,2846890,1868,33.84,33.8,34.15,34.85,12月5日,32.5,12月11日,2.82
1590  F-亞德,918491364,5622119,4749,163.37,163.4,168,173,12月17日,148.5,12月11日,3.75
2049  上銀,10927263570,51543495,39312,212,209.67,213,225,12月6日,201.5,12月17日,20.92
2231  為升,109643179,1600483,1026,68.51,68.77,69.5,72.5,12月10日,62.6,12月3日,2.65
4526  東台,201351290,9260896,4281,21.74,21.62,22,22.6,12月26日,20.7,12月11日,4.09
4532  瑞智,498890400,20515343,8164,24.32,24.25,25.2,25.45,12月28日,23.3,12月11日,4.65
6605  帝寶,167919309,2589458,1726,64.85,64.78,66.3,66.6,12月28日,62.7,12月3日,1.56
8374  羅昇,415350120,14461492,8395,28.72,28.06,28.45,30.4,12月21日,26.5,12月11日,16.51
06 電器電纜類,,,,,,,,,,,
Electrical and Cable,,,,,,,,,,,
1603  華電,165305401,15409491,3406,10.73,10.7,10.9,11.05,12月26日,10.4,12月11日,4.5
1604  聲寶,489838299,48390386,10017,10.12,9.97,9.87,10.55,12月3日,9.72,12月24日,8.28
1605  華新,2012673893,207993222,55225,9.68,9.63,9.92,10.3,12月26日,8.88,12月4日,5.75
1608  華榮,408913047,35365272,8149,11.56,11.16,12.5,12.5,12月28日,10.85,12月21日,5.59
1609  大亞,77443713,10885902,3712,7.11,7.1,7.14,7.29,12月3日,6.93,12月22日,1.88
1611  中電,141258372,8205809,3406,17.21,17.22,17.1,17.8,12月6日,16.7,12月21日,2.06
1612  宏泰,84917158,8388306,2626,10.12,10.11,10.25,10.4,12月26日,9.95,12月22日,2.59
1613  台一,29562603,6892462,1598,4.29,4.3,4.41,4.43,12月28日,4.15,12月12日,3.45
1614  三洋電,60749531,2027103,1113,29.97,29.92,29.55,31.05,12月3日,29.25,12月24日,0.64
1615  大山,4431353,418826,275,10.58,10.58,10.75,10.85,12月26日,10.3,12月13日,0.37
1616  億泰,21437531,4034343,1181,5.31,5.33,5.55,5.61,12月28日,5.2,12月14日,2.08
1617  榮星,6184478,648191,388,9.54,9.56,9.95,10.15,12月27日,9.2,12月22日,0.45
1618  合機,194280982,17129631,4963,11.34,11.27,11.6,11.95,12月26日,10.65,12月3日,7.11
4930  燦星網,350917600,30427164,10102,11.53,11.39,11.7,12.1,12月19日,10.95,12月11日,11.33
08 玻璃陶瓷類,,,,,,,,,,,
Glass and Ceramics,,,,,,,,,,,
1802  台玻,882109269,31026968,17985,28.43,28.77,30,30.1,12月28日,26.65,12月4日,1.3
1806  冠軍,248965190,22606745,6319,11.01,10.97,11.2,11.3,12月19日,10.6,12月3日,5.17
1809  中釉,159714860,11169258,4852,14.3,14.15,14.25,14.95,12月6日,13.4,12月5日,5.88
1810  和成,130757695,14124220,4104,9.26,9.18,9.5,9.57,12月21日,8.85,12月14日,3.82
09 造紙工業類,,,,,,,,,,,
Paper and Pulp,,,,,,,,,,,
1902  台紙,93922135,10408369,3743,9.02,9.01,9.13,9.24,12月26日,8.75,12月11日,2.59
1903  士紙,265457320,5542146,2940,47.9,47.45,47.65,50.2,12月6日,46.1,12月22日,2.13
1904  正隆,236459595,19277873,7334,12.27,12.25,12.3,12.4,12月26日,12.1,12月22日,1.8
1905  華紙,688512581,66648811,15479,10.33,10.19,10.2,10.8,12月25日,9.95,12月5日,5.3
1906  寶隆,9191531,1355238,603,6.78,6.7,6.9,7.05,12月26日,5.86,12月3日,0.9
1907  永豐餘,2895425801,211428787,47942,13.69,13.23,14.05,14.65,12月24日,12.3,12月11日,12.73
1909  榮成,62780297,7845003,2567,8,7.99,8.07,8.18,12月26日,7.84,12月4日,1.14
10 鋼鐵工業類,,,,,,,,,,,
Iron and Steel,,,,,,,,,,,
1532  勤美,490343105,17651870,6948,27.78,27.64,27.7,28.75,12月6日,26.7,12月22日,4.67
2002  中鋼,11389628011,429830271,122868,26.5,26.49,27.35,27.45,12月28日,25.7,12月4日,2.81
2002A 中鋼特,8031400,203000,65,39.56,39.58,39.5,41,12月22日,39.2,12月10日,0.53
2006  東鋼,1276451867,43528606,20189,29.32,29.22,29.7,30.1,12月26日,28.2,12月21日,4.41
2007  燁興,35062115,5914610,1844,5.93,5.64,6.73,6.73,12月28日,5.33,12月11日,0.94
