櫃檯買賣股票成交資料彙總表  The Trading Summary of Listed Stocks,,,,,,,,,,,,,
"104年6月  Jun., 15",,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值：507,779,256,098元",,,,,,"3. 櫃檯買賣月總成交筆數：4,425,719筆",,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,
"2. 櫃檯買賣股票月總成交量： 8,327,078,947股",,,,,,4. 成交量週轉率：12.61%（以上櫃股數計算）,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading Value　　　　　　　（NTD）,總  成  交  量     （ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
（ 筆 ）　　
Total Transactions",       成　　交　　價　　（元 / 股）　　　　  　　                         Average Price （NTD / Share）,,,,月底收盤價    End of Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield, 週轉率（%）　 　Turnover Rate, 淨值比（%）　　PBR
,,,,,平　均  Average,最　高  Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,
1259,安心,"19,540,842","296,510",269,65.90,68.00,63.30,65.58,63.70,20.03 ,3.61,0.92,1.31
2718,桃園店,"2,053,177","51,073",69,40.20,42.80,38.80,40.37,38.80,28.53 ,1.29,0.23,1.50
2719,燦星旅,"221,804,393","8,063,684","5,101",27.51,32.90,23.50,26.20,25.70,27.93 ,2.80,22.22,1.74
2724,F-富驛,"8,823,792","431,927",240,20.43,21.85,19.45,20.49,20.85,28.18 ,0.00,1.13,1.08
2726,F-雅茗,"119,458,497","2,454,033","1,330",48.68,53.80,42.80,49.06,47.65,24.31 ,4.20,8.97,2.60
2729,瓦城,"226,742,445","925,473",714,245.00,251.50,240.00,245.40,243.00,22.69 ,4.12,3.98,3.02
2732,六角,"52,255,744","531,739",496,98.27,107.00,93.00,98.64,98.40,18.36 ,4.57,2.00,2.93
2734,易飛網,"22,904,708","636,669",477,35.98,38.95,33.00,35.46,37.50,23.29 ,2.13,2.44,1.68
5395,圓方,"850,136","26,520",35,32.06,35.00,28.50,33.92,30.00,N/A,1.00,0.04,0.68
5701,劍湖山,"25,662,337","6,118,640","1,968",4.19,4.54,3.77,4.18,4.07,N/A,0.00,2.41,0.52
5703,亞都,"9,293,210","418,021",200,22.23,22.85,21.80,22.24,22.70,31.53 ,1.54,0.60,1.76
5704,老爺知,"77,595,973","2,600,476","1,441",29.84,40.30,26.60,34.24,28.50,18.87 ,4.39,6.69,2.23
5820,日盛金,"230,922,394","26,803,608","8,675",8.62,9.09,8.38,8.58,8.45,11.74 ,8.33,0.83,0.75
5878,台名,"23,793,223","404,714",315,58.79,66.00,54.00,58.06,57.00,15.57 ,1.75,2.15,2.48
6015,宏遠證,"91,681,844","11,774,776","3,462",7.79,8.72,7.31,7.75,7.45,745.00 ,4.03,2.76,0.64
6016,康和證,"95,202,760","12,898,183","4,019",7.38,7.99,6.98,7.38,7.19,N/A,0.00,1.87,0.63
6020,大展證,"18,424,861","1,126,342",502,16.36,17.90,15.25,16.09,15.40,51.33 ,2.74,0.45,1.03
6021,大慶證,"59,932,583","4,375,507","1,697",13.70,15.20,12.95,13.58,13.20,30.00 ,0.00,1.43,0.91
6022,大眾證,"215,323,806","19,623,133","4,786",10.97,12.20,10.30,10.83,10.60,36.55 ,3.61,5.19,0.82
6023,元大期,"853,264,236","18,293,208","11,193",46.64,51.80,37.50,43.94,38.20,14.10 ,18.19,7.88,1.15
6024,群益期,"137,966,870","5,402,896","2,369",25.54,26.45,24.20,25.64,24.55,9.44 ,6.11,4.50,1.07
2916,滿心,"75,652,133","3,893,748","1,908",19.43,21.35,17.50,19.18,17.80,13.59 ,6.18,7.13,1.05
2924,F-東凌,"58,891,705","773,130",350,76.17,77.00,75.30,76.44,76.20,35.94 ,2.89,2.20,2.81
5301,寶得利,"3,838,227","64,572",62,59.45,60.60,55.70,59.60,58.10,43.68 ,2.41,0.08,4.17
5902,德記,"5,370,487","416,409",238,12.90,13.45,12.40,12.95,12.90,92.14 ,0.00,0.44,1.95
5903,全家,"578,416,154","2,400,681",932,240.94,248.00,230.00,237.38,232.00,40.99 ,2.16,1.08,10.82
5904,寶雅,"747,321,052","1,997,375","2,140",374.15,402.00,325.50,374.29,328.50,36.79 ,2.28,2.12,11.72
5905,南仁湖,"123,262,896","11,054,354","3,600",11.15,12.00,10.10,11.15,11.20,14.18 ,4.46,5.41,0.92
6195,詩肯,"193,768,179","2,934,221","2,258",66.04,69.40,61.30,66.36,65.80,11.04 ,7.77,6.68,3.04
8066,來思達,"353,180,821","2,974,615","2,334",118.73,131.00,106.00,117.43,117.50,19.14 ,3.40,11.84,6.08
8433,弘帆,"2,481,406,598","25,557,120","20,818",97.09,110.00,86.00,95.11,88.70,20.02 ,3.95,48.61,3.90
8941,關中,"87,613,123","973,583",741,89.99,98.90,80.00,85.76,93.80,6.00 ,2.67,5.47,3.73
9960,邁達康,"27,353,985","1,284,500",627,21.30,23.20,18.55,21.18,21.45,29.79 ,3.73,3.82,1.50
1584,精剛,"293,741,746","20,320,842","6,914",14.46,15.55,13.75,14.14,13.95,N/A,0.00,19.64,1.02
2221,大甲,"75,429,899","4,139,718","2,440",18.22,19.70,16.50,17.73,18.65,25.55 ,1.66,9.76,1.39
2640,大車隊,"209,904,130","2,001,360","1,550",104.88,112.00,101.00,103.57,101.00,17.12 ,5.35,4.75,3.33
3284,太普高,"32,065,622","3,392,742","1,019",9.45,9.89,8.72,9.37,9.28,928.00 ,0.00,5.59,0.70
4430,耀億,"211,666,603","6,217,469","3,038",34.04,37.10,31.70,32.97,32.30,13.80 ,3.72,11.05,0.94
4529,昶洧,"22,965,531","1,979,749",862,11.60,12.25,11.00,11.47,12.25,N/A,0.00,2.50,1.19
4541,晟田,"158,154,820","4,238,680","2,850",37.31,41.30,30.00,34.00,38.90,27.99 ,3.08,7.83,1.51
5276,F-達輝,"18,634,440","771,155",525,24.16,25.80,22.50,23.77,23.15,10.72 ,8.64,1.95,1.27
5284,F-jpp,"48,606,331","871,672",560,55.76,57.30,54.00,56.10,57.10,N/A,4.20,2.58,1.85
5306,桂盟,"739,003,403","5,102,698","3,996",144.83,159.50,132.00,143.31,138.50,28.79 ,1.08,4.67,6.32
5312,寶島科,"105,038,894","1,269,114","1,056",82.77,85.90,80.40,82.71,80.80,13.74 ,4.46,2.11,2.19
5530,龍巖,"387,690,120","4,832,596","3,810",80.22,81.50,79.20,80.16,80.00,15.90 ,4.50,1.21,3.45
6294,智基,"1,523,797,582","10,428,879","8,420",146.11,188.00,105.50,142.43,147.00,85.96 ,0.68,67.94,11.57
6803,崑鼎,"120,635,208","707,393",680,170.53,174.00,167.00,170.90,169.50,16.02 ,5.49,1.08,2.50
8390,金益鼎,"18,350,795","1,051,087",800,17.46,18.20,16.90,17.50,17.10,31.09 ,1.17,1.39,0.79
8401,白紗科,"32,041,233","2,182,759",999,14.68,15.20,14.15,14.73,15.05,10.38 ,7.57,3.71,0.99
8418,F-必勝,"13,385,174","696,915",344,19.21,20.10,18.10,19.26,18.85,72.50 ,1.06,1.01,0.65
8420,明揚,"10,379,928","625,777",375,16.59,17.20,16.20,16.65,17.20,45.26 ,1.16,1.23,1.29
8421,旭源,"7,227,551","687,532",380,10.51,11.50,9.74,10.29,10.20,N/A,0.00,1.79,0.90
8423,F-保綠,"1,151,675","50,590",47,22.76,24.45,21.95,23.27,24.05,16.82 ,3.33,0.28,1.44
8426,F-紅木,"48,856,470","1,292,307",980,37.81,44.20,33.80,39.00,36.50,12.09 ,8.22,2.68,1.72
8435,鉅邁,"52,038,108","1,020,158",720,51.01,52.90,48.70,51.15,49.90,15.35 ,6.61,3.22,2.00
8437,F-大地,"1,700,774,460","11,720,073","8,883",145.12,162.00,125.50,144.95,162.00,21.57 ,2.16,35.98,4.37
8905,裕國,"66,397,731","4,076,800","1,836",16.29,18.20,14.50,16.50,15.90,5.10 ,6.29,3.41,0.77
8906,花王,"1,056,149","119,075",99,8.87,9.60,8.32,8.70,8.75,N/A,0.00,0.23,1.13
8913,全銓,"7,790,409","469,805",193,16.58,17.10,16.15,16.86,16.75,45.27 ,2.39,0.86,1.25
8916,光隆,"84,033,577","2,196,241","1,392",38.26,40.80,35.00,38.29,37.30,10.33 ,8.04,2.10,1.27
8921,沈氏,"7,693,704","388,003",61,19.83,20.00,19.00,19.38,19.15,17.73 ,5.22,0.83,1.06
8924,大田,"90,737,487","5,097,593","2,568",17.80,18.75,16.65,17.59,17.80,296.67 ,0.00,4.20,1.02
8925,偉盟,"727,633,679","115,104,088","14,851",6.32,7.05,5.64,6.25,5.97,N/A,0.00,31.51,0.60
8928,鉅明,"972,774,614","20,635,694","12,294",47.14,51.60,41.00,46.13,47.85,9.67 ,4.18,40.58,3.22
8929,富堡,"17,749,576","633,088",385,28.04,29.70,26.10,28.04,27.55,20.56 ,4.36,1.81,1.12
8932,宏大,"4,770,390","479,000",162,9.96,10.70,9.18,10.00,9.77,16.84 ,0.00,0.98,1.08
8933,愛地雅,"152,932,640","10,519,731","4,773",14.54,16.30,13.55,14.45,13.90,15.11 ,2.88,7.08,0.88
8934,衡平,"45,850","1,000",1,45.85,45.85,45.85,45.85,45.85,12.92 ,2.76,0.01,1.69
8935,邦泰,"12,296,463","1,583,732",734,7.76,8.26,7.51,7.74,7.66,N/A,0.00,1.32,0.91
8936,國統,"2,395,499,564","52,128,451","27,486",45.95,49.50,41.60,45.65,46.40,13.07 ,4.53,27.88,1.97
8937,合騏,"21,551,980","1,544,649",623,13.95,15.20,12.90,14.02,13.45,"1,345.00 ",1.78,2.13,1.23
