101年度股票交易量值統計表,,,,,
TRADING STATISTICS OF STOCKS FOR 2012,,,,,
證     券     名     稱,,"成   交   值
(單位：元)","成   交   量
(單位：股)",收盤平均價,"成交量
週轉率"
Name   of    Company,,"Trading Amount
(NT$)","Trading Volume
(Shares)","Average
Closing Price","Volume
Turnover
Rate (%)"
3056,總太地產,"6,344,487,040 ","232,563,651 ",25.70 ,200.28 
,ZongTai,,,,
3703,欣陸,"3,206,930,570 ","291,941,226 ",10.97 ,34.70 
,CONTINENTAL,,,,
5515,建國,"3,825,834,047 ","262,368,135 ",14.13 ,72.86 
,CHIEN KUO,,,,
5521,工信,"235,992,580 ","24,644,319 ",9.46 ,7.09 
,KSECO,,,,
5522,遠雄建設,"18,093,657,086 ","342,173,607 ",53.08 ,44.34 
,Farglory,,,,
5525,順天,"733,543,046 ","45,697,702 ",15.84 ,19.54 
,SWEETEN,,,,
5531,鄉林建設,"6,270,281,954 ","243,642,982 ",24.51 ,49.53 
,SHINING,,,,
5533,皇鼎建設,"1,800,865,138 ","98,378,159 ",18.19 ,44.66 
,FOUNDING,,,,
5534,長虹,"35,347,377,248 ","508,671,312 ",67.44 ,206.35 
,CHONG HONG,,,,
15,航運業類,,,,
,Shipping and Transportation,,,,
2208,台船公司,"5,049,379,170 ","228,521,952 ",21.70 ,31.24 
,CSBC,,,,
2601,益航,"26,999,198,407 ","733,070,583 ",34.66 ,257.84 
,FSC,,,,
2603,長榮,"47,817,078,970 ","2,777,744,962 ",17.00 ,79.95 
,EMC,,,,
2605,新興,"5,034,924,059 ","183,543,662 ",26.99 ,32.30 
,SNC,,,,
2606,裕民,"10,838,614,758 ","227,947,851 ",46.93 ,26.57 
,U-Ming,,,,
2607,榮運,"24,944,120,099 ","1,373,706,689 ",16.86 ,128.73 
,EITC,,,,
2608,嘉里大榮,"6,666,464,537 ","167,794,972 ",37.39 ,34.69 
,Kerry TJ,,,,
2609,陽明,"39,328,724,955 ","2,851,946,883 ",13.24 ,101.18 
,YMTC,,,,
2610,華航,"40,057,497,951 ","3,141,189,234 ",12.41 ,60.40 
,CAL,,,,
2611,志信,"4,076,113,212 ","268,601,166 ",14.32 ,138.70 
,TSI,,,,
2612,中航,"2,441,258,920 ","61,786,660 ",38.57 ,24.10 
,CMT,,,,
2613,中櫃,"3,972,451,537 ","206,891,944 ",16.26 ,232.47 
,CCTC,,,,
2614,東森,"2,521,207,884 ","653,065,594 ",3.66 ,46.03 
,EMIC,,,,
