櫃檯買賣股票成交資料彙總表  The Trading Summary of Listed Stocks,,,,,,,,,,,,,
"101年4月 Apr., 12",,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 228,526,362,832元",,,,,,"3. 櫃檯買賣月總成交筆數： 2,612,514筆",,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,
"2. 櫃檯買賣股票月總成交量： 6,168,195,272股",,,,,,4. 成交量週轉率： 9.31%（以上櫃股數計算）,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",       成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield, 週轉率（%）　 　Turnover Rate, 淨值比（%）　　PBR
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,
1777,生泰合成,47480087,947509,793,50.11,52.8,46,49.46,48.75,21.01,4.72,3.99,2.299528302
1781,合世生醫,13958932,991565,498,14.07,15.1,13.1,14.11,14.35,N/A,0,2.36,1.538049303
1784,訊聯    ,48583674,1297125,1107,37.45,39.2,35.3,37.62,36.35,43.8,0,2.58,1.661334552
1788,杏昌生技,131599324,1841009,1353,71.48,75,67,71.86,72.2,17.15,4.85,5.26,1.855564122
1795,美時化學,49062818,1884643,1344,26.03,28.3,23.9,25.71,23.9,N/A,1.26,4.23,1.907422187
1799,紅電醫  ,4560664,467072,286,9.76,10.55,9,9.78,9.1,N/A,0,1.47,0.966029724
1813,寶利徠  ,95133090,2613964,1624,36.39,39.1,31,34.91,35.6,14.71,4.21,6.36,2.099056604
3118,進階    ,394464749,11684599,7224,33.75,36.5,27.05,31.71,32.5,18.57,6.15,36,2.090032154
3176,基亞    ,2792441112,43857229,25207,63.67,70,55.5,63.16,60.1,N/A,0,34.08,7.907894737
3205,佰研生化,1673986,98488,81,16.99,18.35,15.8,17.28,17.3,N/A,0,0.4,1.663461538
3218,大學光學,126472224,5624755,3560,22.48,25.35,20.5,22.23,21.3,73.45,0,8.45,1.241982507
3266,昇陽開發,103880064,6927636,4484,14.99,16.8,14.15,15.07,14.3,15.21,0,5.63,1.021428571
4102,永日化工,283483535,6953851,4864,40.76,42.9,37.3,40.79,40.25,23.68,4.97,16.41,2.109538784
4103,百略    ,160141889,3158428,2255,50.7,52.6,47.9,50,48.3,12.88,6.21,2.58,2.071183533
4105,東洋藥品,5056343200,44786734,25592,112.89,126.5,99.2,112.27,101.5,30.85,2.56,25.95,6.196581197
4107,邦特生技,77163350,3085681,1671,25,26.55,23.6,24.96,24.95,14.1,7.21,3.94,1.535384615
4109,加捷    ,25697492,1505339,928,17.07,18.2,16.1,17.19,16.8,39.07,3.51,2.96,1.268882175
4111,濟生    ,66292913,3229219,1883,20.52,21.6,18.55,20.55,20.8,25.06,2.4,6.44,1.247002398
4114,健喬信元,237661461,7535756,4415,31.53,33.2,27.45,30.66,31.25,35.51,1.95,8.74,2.246585191
4120,友華生技,92646790,2446726,1751,37.86,39.7,36.15,37.77,38.2,18.02,1.7,2.82,1.440422323
4121,優盛醫學,17212565,1542134,798,11.16,12.45,10.5,11.16,10.65,34.35,7.51,2.1,0.706702057
4123,晟德    ,291001290,7299216,4437,39.86,42.5,36.3,39.68,37.85,210.28,3.3,7.45,2.126404494
4126,太平洋醫,224393933,2537239,1892,88.44,90.5,81.6,88.43,88.5,16.76,4.66,4.23,3.352272727
