櫃檯買賣股票成交資料彙總表,,,,,,,,,,,,,,,,,
The Trading Summary of Listed Stocks,,,,,,,,,,,,,,,,,
98年12月 Dec. 09,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 785,413,954,352元",,,,,,"3. 櫃檯買賣月總成交筆數： 7,151,894筆",,,,,,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,,,,,
"2. 櫃檯買賣股票月總成交量： 20,215,382,941股",,,,,,4. 成交量週轉率： 28.10%（以上櫃股數計算）,,,,,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",         成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield,  週轉率（%）　　Turnover Rate,  淨值比（%）　　PBR,,,,
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,,,,,
1565,精華光學,518088615,2802428,2502,184.87,191,179.5,184.76,191,16.42,4.19,5.56,4.96,,,,
1752,南光    ,177916946,6926765,3463,25.68,27.5,24.4,25.29,27.05,45.85,3.69,10.99,2.08,,,,
1777,生泰合成,46090335,1167036,843,39.49,40.5,38.5,39.34,39.3,19.55,4.58,4.91,2.28,,,,
1781,合世生醫,63700804,3869791,2064,16.46,17.6,15,16.02,17,NA,0,11.04,2.54,,,,
1784,訊聯    ,1107498298,14124764,9015,78.4,83.2,70.8,75.93,75.4,22.37,1.68,32.9,3.44,,,,
1788,杏昌生技,193205028,2997137,2265,64.46,66.8,62.1,64,65,23.72,4.61,10.25,2.44,,,,
1799,紅電醫  ,246549483,9051547,4495,27.23,29.7,23.8,26.39,26.8,59.56,6.71,32.21,1.79,,,,
1813,寶利徠  ,384991127,9235423,5183,41.68,46.1,37.2,40.77,43.5,28.62,0,22.46,3.15,,,,
3118,進階    ,166640266,4611240,2860,36.13,38.45,34.25,35.29,35.6,26.77,5.05,14.92,2.52,,,,
3164,景岳科技,4339032574,56325206,27047,77.03,85.8,63.5,76.15,76.2,56.44,1.31,114.26,6.39,,,,
3205,佰研生化,114656859,3256415,2461,35.2,43,30,33.2,34.55,NA,0,22.13,3.74,,,,
3218,大學光學,206620546,5620917,3456,36.75,38.5,35,36.38,36.5,NA,2.73,12.43,2.35,,,,
3266,弘如洋  ,197139501,9281043,4437,21.24,23.45,18.5,20.05,21.95,NA,0,40.08,1.85,,,,
4102,永日化工,1155474013,25287230,13201,45.69,48.5,41.05,44.83,43.6,23.07,1.14,76.51,3.1,,,,
4103,百略    ,689239360,13688259,6995,50.35,51.6,49.1,50.12,50.2,12.36,5.57,11.2,2.37,,,,
4105,東洋藥品,6583958622,61248270,32446,107.49,113.5,102.5,105.95,105,41.83,3.14,47.74,6.86,,,,
4107,邦特生技,2691088201,54920419,24061,48.99,53.4,45.1,48.34,53.3,23.38,2.81,70.16,3.46,,,,
4109,加捷    ,61950197,3186084,1869,19.44,20.25,18.9,19.37,19.45,31.89,3.59,7.11,1.44,,,,
4111,濟生    ,283973741,14669950,6420,19.35,20.3,17.8,19.13,19.15,26.6,2.61,30.57,1.18,,,,
4113,聯上實業,36460643,1484190,1029,24.56,26.2,23,24.43,24.05,12.03,0,3.28,2.3,,,,
4114,健喬信元,1611513477,43352478,20649,37.17,39.8,32.1,36.77,37.5,NA,2.13,56.36,2.81,,,,
4120,友華生技,1000963064,16010333,10462,62.51,65.2,59.7,61.83,62,16.06,3.06,22.89,2.3,,,,
4121,優盛醫學,529133599,28985199,10683,18.25,20.95,14.4,17.44,19.15,NA,2.61,43.19,1.34,,,,
4123,晟德    ,1845601739,35819701,19346,51.52,55.4,47.2,50.49,52.4,18.58,3.45,72.32,2.63,,,,
4126,太平洋醫,1192487775,15131642,8882,78.8,83.5,75.2,78.09,81,NA,2.65,25.11,4.8,,,,
4127,天良    ,328895327,16726466,7184,19.66,20.7,18.1,19.3,19.6,42.61,0.76,36.55,1.18,,,,
4128,中天生技,10159366951,227597470,97644,44.63,49.75,36.15,44.55,43.85,NA,0.43,101.62,3.57,,,,
4129,聯合骨科,485358377,11761811,6562,41.26,43.7,38.5,40.43,39.4,83.83,0,25.37,2.86,,,,
4131,晶宇生技,566591611,14273053,7790,39.69,42.6,36.5,38.82,40.4,NA,0,29.61,5.63,,,,
8908,欣雄    ,2695821,176787,128,15.24,16.35,14.55,15.47,15.8,54.48,2.53,0.23,1.47,,,,
