櫃檯買賣股票成交資料彙總表  The Trading Summary of Listed Stocks,,,,,,,,,,,,,
100年02月 Feb. 11,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 302,787,585,616元",,,,,,"3. 櫃檯買賣月總成交筆數： 2,812,595筆",,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,
"2. 櫃檯買賣股票月總成交量： 7,293,877,701股",,,,,,4. 成交量週轉率： 11.05%（以上櫃股數計算）,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",         成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield,週轉率（%）　　Turnover Rate,淨值比  （%）　　PBR
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,
4127,天良    ,302408229,9806270,5131,30.83,32.8,28.5,29.58,30.3,60.60,0.66,21.43,1.79
4128,中天生技,1082780332,22349981,11502,48.44,50.5,45.5,48.07,46,97.87,0,9.96,2.32
4129,聯合骨科,260501635,5355467,3524,48.64,51,46,48.09,47.4,64.05,1.94,11.55,3.5
4131,晶宇生技,35090290,1257440,819,27.9,29.9,26.8,27.72,27,N/A,0,2.6,4.04
4138,曜亞國際,817150915,5866045,4316,139.3,149.5,128,135.82,144.5,26.81,1.38,22.14,6.71
4736,泰博    ,162585910,2403734,1484,67.63,71.2,64.5,67.75,65,14.04,10.76,3.68,2.42
8908,欣雄    ,2709066,148771,127,18.2,18.75,17.9,18.43,18.7,17.48,1.6,0.19,1.63
8917,欣泰    ,1112209,27565,23,40.34,42.45,39.25,40.37,41,19.90,4.87,0.03,2.7
8927,北基加油,19972853,1317058,489,15.16,15.5,14.8,15.15,14.95,41.53,3.33,1.19,1.32
8931,大園汽電,17499431,1184706,588,14.77,15.2,14.4,14.78,14.5,12.39,6.82,1.11,1.05
3073,普格    ,36486769,1925074,985,18.95,20.55,18.2,18.85,19.05,N/A,0.94,3.95,0.98
3087,翔準    ,231545123,19246603,4827,12.03,12.5,11.5,11.97,11.85,18.23,0,6.75,0.87
3169,亞信電子,104207919,2863606,1833,36.39,41.35,33.75,36.23,36.55,11.87,5.74,5.36,2.33
3188,安茂    ,86515195,6259538,1883,13.82,14.45,13,13.51,13.6,N/A,0,13.3,1.16
3219,倚強科技,1754614,267006,130,6.57,7.6,5.68,6.52,6.58,N/A,0,0.67,1.09
3227,原相科技,2316583846,20623724,15185,112.32,135.5,100,114.28,107.5,14.79,4.65,15.76,2.3
3228,金麗科  ,189432980,4023493,2765,47.08,53.8,43.1,47.13,44.1,N/A,0,6.81,3.64
3252,海灣科技,1550890,94046,106,16.49,17.7,14.9,16.62,14.9,N/A,0,0.19,22.24
3259,鑫創科技,15209532,750185,333,20.27,21.05,19.5,20.29,20,N/A,2,1.21,1.29
3260,威剛科技,3814492918,69083620,32234,55.21,60.7,49,54.46,51.7,15.57,5.76,30.28,1.67
3264,欣銓科技,1684915475,56158626,17818,30,33.9,27.1,30.77,29.65,9.53,4.04,12.52,1.71
3265,台星科  ,1713534692,74470073,24765,23,25.9,19.6,22.95,21.05,10.58,1.99,27.33,1.44
3268,海德威  ,35356419,1489067,1027,23.74,26.35,22.2,23.64,23.3,75.16,0,4.86,2.23
