櫃檯買賣股票成交資料彙總表,,,,,,,,,,,,,
The Trading Summary of Listed Stocks,,,,,,,,,,,,,
99年10月 Oct. 10,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 376,490,989,404元",,,,,,"3. 櫃檯買賣月總成交筆數： 3,870,596筆",,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,
"2. 櫃檯買賣股票月總成交量： 9,756,239,918股",,,,,,4. 成交量週轉率： 14.87%（以上櫃股數計算）,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,
代 號 Code,股 票 名 稱N/Ame of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",         成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield,  週轉率（%）　　Turnover Rate,  淨值比（%）　　PBR
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,
3118,進階    ,1637265286,26165521,16105,62.57,66.5,56.7,61.15,61.9,26.91,2.36,84.66,4.25
3205,佰研生化,47182093,1599631,1127,29.49,31.95,26.5,28.14,27.35,N/A,0,10.87,3.7
3218,大學光學,62243237,2167658,1387,28.71,30.3,26.85,28.03,27.1,N/A,0,4.79,1.91
3266,弘如洋  ,125651122,4908146,2486,25.6,27.7,23.85,25.14,24.55,N/A,0,5.9,2.05
4102,永日化工,4226616192,61520368,34513,68.7,77.1,60.8,68.19,75.2,24.90,2.99,169.22,4.49
4103,百略    ,1764611419,29837111,18389,59.14,64.6,52,57.69,61.7,15.62,4.8,24.41,2.87
4105,東洋藥品,7250613868,50339429,30061,144.03,164,127,143.92,139,50.18,2.15,36,9.21
4107,邦特生技,3663096153,67017655,35515,54.65,57.9,49.6,54.23,53.5,22.77,3.73,85.62,3.41
4109,加捷    ,335588851,12875417,6692,26.06,28.2,23,25.16,24.5,98.00,3.27,27.89,1.94
4111,濟生    ,892613896,30449199,15015,29.31,31.75,27,28.52,27,39.71,1.95,61.9,1.74
4114,健喬信元,1107897592,28093587,14406,39.43,41.35,36.5,38.55,36.85,69.53,0,35,2.51
4120,友華生技,1490737059,24216406,14561,61.55,66.9,56.8,59.75,56.8,14.91,3.52,29.84,2.59
4121,優盛醫學,2073751974,79572001,33457,26.06,28.6,22.6,25.78,24.6,14.64,1.94,112.87,1.69
