櫃檯買賣股票成交資料彙總表（一）,,,,,,,,,,,,,
The Trading Summary of Listed Stocks（1）,,,,,,,,,,,,,
01月Jan. 08,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 339,872,575,306元",,,,,,4. 加權平均本益比：12.89,,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Weighted Average P/E Ratio,,,,,,,
"2. 櫃檯買賣股票月總成交量： 8,981,240,714股",,,,,,5. 加權平均殖利率： 7.13%,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Weighted Average Yield,,,,,,,
"3. 櫃檯買賣月總成交筆數： 2,927,065筆",,,,,,6. 成交量週轉率： 13.40%（以上櫃股數計算）,,,,,,,
     Number of Transactions,,,,,,     Turnover Rate,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",         成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield,  週轉率（%）　　Turnover Rate,  淨值比（%）　　PBR
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,
8932,宏大    ,13811775,1285004,630,10.74,11.85,9.1,11.01,9.95,NA,7.33,3.4,1.17
8933,愛地雅  ,229789919,15711488,6689,14.62,16.3,12.4,14.39,13.05,21.75,2.29,14.02,0.89
8934,世?,,,,,,,,,NA,0,0,18.42
8935,邦泰    ,51265786,6948173,2230,7.37,8.54,6.18,7.38,6.55,NA,18.32,4.86,0.54
8936,國統國際,524897270,13659343,5618,38.42,41,32.7,37.82,32.7,12.87,2.01,20.43,2.55
8937,合騏    ,18628461,1345788,454,13.84,14.75,12.2,13.82,13.35,83.44,1.87,1.68,1.07
8938,明安國際,435080532,7521877,4475,57.84,64.3,53.2,58.09,56.5,10.16,8.37,6.51,2.26
8942,森鉅科技,107269261,2972807,1629,36.08,38.5,34.1,36.33,35,10.67,5.97,3.9,1.86
9946,金革科技,2895490,222236,179,13.02,14.75,11.7,12.95,11.95,398.33,4.18,0.87,1.06
9949,琉園    ,227102128,4396456,2395,51.65,55.8,40.7,50.35,42.4,23.04,3.77,10.51,2.36
9955,佳龍科技,939529506,13455980,9360,69.82,73.3,63.1,68.73,,23.14,2.36,16.39,3.52
1742,台蠟    ,26933672,666509,414,40.41,41.95,39.2,40.55,39.9,9.34,9.14,2.19,2.31
1787,福盈科技,15851759,1188201,478,13.34,13.95,12.3,13.27,12.3,11.39,10.16,2.07,0.85
3303,岱稜    ,345628397,6850638,4217,50.45,59.6,39,49.09,39,11.68,5.84,11.5,1.76
4702,中美聯合,12639979,2331003,753,5.42,6.1,4.63,5.37,4.95,NA,0,3.82,0.7
4703,金美克能,9014803,874399,319,10.3,11.3,9.6,10.27,10.1,NA,0,1.28,1.57
4706,大恭化學,4135311,410646,160,10.07,10.6,9.44,10.14,10.1,48.1,5.94,0.52,0.7
4707,磐亞    ,84375473,6813954,1809,12.38,13.4,10.55,12.31,13.35,14.2,0,3.59,0.62
4711,永純    ,9482846,609003,305,15.57,16.5,14.6,15.83,14.8,10.07,9.45,1,0.89
4712,南璋    ,4697113,585202,247,8.02,8.5,7.22,8.15,8.25,21.15,6.06,0.91,0.67
4714,永捷    ,13460697,1492715,496,9.01,9.52,8.56,8.92,8.7,15.26,11.49,3.52,0.67
4716,大立    ,214197677,11661747,4783,18.36,20.9,13.35,17.35,13.8,106.15,1.81,22.38,1.19
4720,德淵企業,31399777,2428883,1166,12.92,14,12,13.08,12.35,9.01,6.47,3.97,0.89
4721,美琪瑪  ,153146666,5660578,3031,27.05,29.45,23.75,26.9,25.2,12.12,5.11,8.86,1.81
4722,國精化學,5006726,548038,259,9.13,10.2,8.5,9.24,8.62,39.18,5.8,0.89,0.59
6509,聚和國際,470027379,26446314,9476,17.77,20.9,13.75,17.4,13.85,20.07,17.18,19.65,0.75
1565,精華光學,502614856,3933017,2485,127.79,142,120,129.2,120,12.47,4.41,7.82,3.73
1777,生泰合成,12197875,491021,288,24.84,26.9,23.5,24.79,23.6,12.29,10.16,2.27,1.42
1781,合世生醫,68384697,2381177,1087,28.71,33.4,22,26.15,22.1,NA,1.4,6.81,2.31
1784,訊聯    ,185689011,3121190,2431,59.49,66.8,46,59.45,46.2,29.24,1.25,10.13,3.03
3205,天騵生科,11272857,1403006,763,8.03,9.76,6.45,7.97,6.97,NA,0,4.72,1.37
3218,大學光學,133257076,3448333,1684,38.64,42,35.45,38.7,37.75,18.88,4.37,8.59,2.21
3266,弘如洋  ,26667363,1468302,761,18.16,21.5,14.7,18,16,100,7.25,6.34,1.43
4102,永日化工,64965520,3994233,1929,16.26,18.5,13.85,15.79,14,45.16,3.57,12.09,1.01
4103,百略    ,90127781,2020946,1103,44.59,49.9,37.25,43.92,38.8,10.4,6.44,1.71,2.05
4105,東洋藥品,528413804,10024440,5471,52.71,58.2,43,50.32,44.45,21.79,6.07,10.79,2.54
4107,邦拓    ,316331389,12432667,6204,25.44,30.5,19.2,25.49,19.35,3.82,3.25,16.36,1.2
4108,懷特    ,746551243,16810603,8474,44.4,57.9,31.2,46.5,31.2,NA,0,17.85,2.14
4109,加捷    ,45155675,2558822,1286,17.64,20.55,15,17.8,15.5,13.96,10.45,5.86,1.08
4111,濟生    ,79397778,5313317,2128,14.94,16.75,13.3,14.9,13.7,23.62,5.1,11.1,0.86
4113,聯上生技,1816840,199100,151,9.12,10,8.32,9.22,8.99,NA,0,0.79,1.14
