櫃檯買賣股票成交資料彙總表,,,,,,,,,,,,,,
The Trading Summary of Listed Stocks,,,,,,,,,,,,,,
99年05月 May 10,,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 453,920,360,344元",,,,,,"3. 櫃檯買賣月總成交筆數： 4,781,712筆",,,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,,
"2. 櫃檯買賣股票月總成交量： 13,263,394,846股",,,,,,4. 成交量週轉率： 18.06%（以上櫃股數計算）,,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",         成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield,  週轉率（%）　　Turnover Rate,  淨值比（%）　　PBR,
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,,
3118,進階    ,617513181,15627324,7507,39.51,42.15,33.4,36.49,38.5,23.05,4.88,50.56,2.54,
3205,佰研生化,20607889,707762,509,29.11,31.95,26,29.34,28,N/A,0,4.81,3.44,
3218,大學光學,52285327,1894047,1171,27.6,31.6,23.3,27.8,24.5,N/A,4.19,4.18,1.67,
3266,弘如洋  ,107519155,5068252,2570,21.21,23,18.3,20.52,21.5,N/A,0,6.09,1.82,
4102,永日化工,250364234,6465651,4039,38.72,41.75,35.2,38.56,37.95,16.64,1.34,19.56,2.5,
4103,百略    ,251695089,5420863,3036,46.43,48,44.1,46.33,47.4,9.33,6.14,4.44,2.08,
4105,東洋藥品,2564689843,26931500,17000,95.23,100.5,86.9,94.1,98.2,34.58,3.53,20.99,5.88,
4107,邦特生技,344358775,8558276,5058,40.23,44.2,37.15,40.31,39.25,18.17,3.69,10.93,2.38,
4109,加捷    ,696466346,27879692,9214,24.98,26.85,21.5,24.24,24.4,58.1,3.01,62.2,1.8,
4111,濟生    ,234784854,10862998,4970,21.61,23.6,19.1,21.35,21.3,31.32,2.38,22.64,1.28,
4114,健喬信元,1325354820,35946637,18335,36.87,39.95,30.1,36.25,39.95,N/A,2.08,45.74,2.9,
4120,友華生技,386306405,7273053,4640,53.11,56.3,48.5,52.55,55.4,14.85,3.42,10.4,2.22,
4121,優盛醫學,229961128,12697062,4968,18.11,19.2,16.1,17.45,17.25,18.75,2.98,18.91,1.15,
4123,晟德    ,159162761,3766210,2502,42.26,44.8,38.5,42,41.6,22.13,4.4,5.41,1.86,
4126,太平洋醫,413544804,5676049,3677,72.85,80.2,67,73.29,72.2,47.81,3.04,9.31,3.65,
4127,天良    ,2917194904,101659488,39881,28.69,33.1,23.3,28.08,28.8,29.69,0.5,222.16,1.66,
4128,中天生技,3282891830,72759046,38710,45.12,49.2,40.75,45.05,46.15,419.55,0.42,32.49,2.33,
4129,聯合骨科,147144054,4006674,2560,36.72,39.8,33.5,36.45,35.15,36.24,0,8.64,2.5,
4131,晶宇生技,379563205,8394958,5897,45.21,49.5,40.25,44.83,43.05,N/A,0,17.38,6.12,
8908,欣雄    ,48103233,2596937,1301,18.52,20.25,15.85,17.8,18.75,39.06,2.12,3.41,1.69,
8917,欣泰    ,23528083,537452,126,43.77,49,41,43.42,42.5,19.23,4.79,0.53,2.64,
8927,北基加油,190496498,10370218,3348,18.36,19.95,15.55,18.06,19.1,45.48,2.67,9.9,1.57,
8931,大園汽電,62298999,4017188,1409,15.5,16.1,14.5,15.54,15.6,11.47,1.94,3.77,1.09,
3073,普格    ,235617470,7203416,3256,32.7,40.3,26.8,32.04,29.3,N/A,1.64,14.84,1.52,
3087,翔準    ,319872753,29106733,7699,10.98,12.4,9.77,10.74,10.35,27.97,1.22,10.21,0.78,
3169,亞信電子,464364125,8867534,5822,52.36,57.2,49,52.4,56.6,22.37,3.28,16.61,3.49,
3188,安茂    ,73472467,4177012,1984,17.58,20.1,14.9,17.49,16,N/A,10.09,8.73,1.37,
3219,倚強科技,32712399,2450385,1204,13.34,15.55,11.6,13.35,13,N/A,7.66,6.17,1.86,
3227,原相科技,4163161939,22104570,17093,188.33,200,172.5,188.04,188,26.63,3.25,16.9,3.93,
3228,金麗科  ,126281447,2717694,1948,46.46,50.5,41.7,46.11,45.05,N/A,4.9,4.79,3.91,
