櫃檯買賣股票成交資料彙總表  The Trading Summary of Listed Stocks,,,,,,,,,,,,,,,
"101年2月 Feb., 12",,,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 459,457,575,866元",,,,,,"3. 櫃檯買賣月總成交筆數： 4,903,874筆",,,,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,,,
"2. 櫃檯買賣股票月總成交量： 11,868,461,438股",,,,,,4. 成交量週轉率： 17.38%（以上櫃股數計算）,,,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",       成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield, 週轉率（%）　 　Turnover Rate, 淨值比（%）　　PBR,,
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,,,
8906,花王企業,3878511,583129,288,6.65,7.05,6.22,6.59,6.86,N/A,0,1.14,0.82,,
8913,華夏資融,58645443,4656953,2182,12.59,14,10.25,12.58,13.1,23.82,19.08,9.37,0.88,,
8916,光隆    ,41513713,2112524,1008,19.65,20.5,18.7,19.64,19.3,12.78,5.7,2.37,0.9,,
8921,沈氏印刷,3149204,207790,104,15.15,16.45,13.85,14.73,15.2,15.83,5.92,0.45,0.89,,
8923,時報出版,4272228,266058,128,16.05,16.55,15.5,16.16,16.1,14.77,7.76,0.88,1.15,,
8924,大田精密,161527647,6774396,3562,23.84,26.5,20.2,23.97,25.45,N/A,0,5.59,1.49,,
8925,偉盟工業,1071465598,62757926,11751,17.07,17.45,16.45,17.13,17,106.25,3,21.92,1.33,,
8928,鉅明    ,28075159,3258131,967,8.61,9.06,7.3,8.44,8.41,N/A,0,5.13,0.9,,
8929,富堡工業,25168388,945047,648,26.63,28.3,23.6,26.54,27.3,10.5,6.59,3.46,1.37,,
8932,宏大    ,4771927,625215,232,7.63,8.2,7.1,7.66,8.03,N/A,0,1.28,0.94,,
8933,愛地雅  ,233403219,20237717,7274,11.53,12.55,9.72,11.42,12.1,22.41,6.53,15.54,0.84,,
8934,衡平    ,150691,5129,10,29.49,30.25,28.15,29.2,28.15,4.43,0,0.1,1.96,,
8935,邦泰    ,86248406,13972432,3711,6.17,6.8,5.58,6.19,6.56,N/A,0,6.92,0.78,,
8936,國統國際,849299153,24813468,12167,34.22,35.9,32.2,33.95,34.4,2.89,3.49,18.32,1.16,,
8937,合騏    ,23759478,1929536,882,12.31,13.3,11.2,12.27,11.25,N/A,0,2.66,1.03,,
8938,明安國際,266405969,7356284,3776,36.21,38,33.1,36.24,36.8,96.84,7.07,5.45,1.44,,
8942,森鉅科技,3061917821,51636749,22489,59.29,63.6,51.7,58.66,60,20.27,1.6,39.66,2.98,,
9949,琉園    ,47382757,1872524,1299,25.3,27.5,23.8,25.19,24.95,48.92,4.81,3.98,1.5,,
1742,台蠟    ,130937926,6118876,3549,21.39,22.8,18.3,21.28,22.4,22.86,13.39,9.46,1.73,,
1787,福盈科技,809730246,46757077,13763,17.31,18.8,11.75,15.14,17.3,32.04,3.99,67.03,1.14,,
4702,中美聯合,52112926,2593468,1417,20.09,21.8,19.1,20.22,19.8,N/A,0,3.39,2.13,,
4703,金美克能,167538214,11571818,3130,14.47,15.8,12.3,14.51,15.4,128.33,0,16.92,2.51,,
4706,大恭化學,16228809,1165314,504,13.92,14.6,13.2,13.97,14.3,13.75,6.99,1.47,0.87,,
4707,磐亞    ,433889854,37186265,8859,11.66,12.5,9.56,11.38,11.25,20.09,0,16.49,0.65,,
4711,永純    ,11845423,679785,425,17.42,18.35,16.1,17.46,17.9,12.7,7.82,1.11,1.03,,
4712,南璋    ,1023776595,20451601,8823,50.05,57,39.05,47.19,53,86.89,0,34.04,4.68,,
4714,永捷    ,39748557,2720637,1110,14.61,15.7,12.1,14.62,14.9,12.02,6.71,6.41,1.02,,
4716,大立    ,332688757,15380029,6221,21.63,23.6,18.4,21.01,22.1,18.26,4.52,25.5,1.71,,
4720,德淵企業,421377324,24076074,8100,17.5,19.5,13.1,15.77,16.35,32.06,1.22,34.54,1.25,,
4721,美琪瑪  ,176886908,7055949,3896,25.06,27.25,21.65,24.31,25.05,12.59,9.46,9.41,1.78,,
4722,國精化學,932908035,32816682,12315,28.42,30.5,25.7,28.49,29.35,17.37,2.69,43.97,1.8,,
4739,康普    ,179308653,6693018,3282,26.79,30.5,22,26.12,27.45,12.36,3.64,13.76,1.46,,
