櫃檯買賣股票成交資料彙總表,,,,,,,,,,,,,,,,,
The Trading Summary of Listed Stocks,,,,,,,,,,,,,,,,,
99年1月 Jan. 2010,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 634,665,897,804元",,,,,,"3. 櫃檯買賣月總成交筆數： 6,047,741筆",,,,,,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,,,,,
"2. 櫃檯買賣股票月總成交量： 17,662,926,769股",,,,,,4. 成交量週轉率： 24.41%（以上櫃股數計算）,,,,,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",         成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield,  週轉率（%）　　Turnover Rate,  淨值比（%）　　PBR,,,,
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,,,,,
4109,加捷    ,91920485,4706613,2333,19.53,21,17,19.08,17.8,29.18,3.93,10.5,1.32,,,,
4111,濟生    ,104643432,5714254,2578,18.31,19.35,16.6,18.15,17,23.61,2.94,11.91,1.04,,,,
4113,聯上實業,80777860,3176223,1853,25.43,27.5,22,24.46,22.5,11.25,0,7.03,2.15,,,,
4114,健喬信元,358753192,10789180,5812,33.25,37,28,33.05,29,NA,2.75,13.95,2.17,,,,
4120,友華生技,451806655,7676708,4852,58.85,62.7,52.8,58.31,52.9,13.7,3.59,10.97,1.96,,,,
4121,優盛醫學,284684525,15383480,5272,18.5,19.9,15.1,17.8,15.85,NA,3.15,22.92,1.11,,,,
4123,晟德    ,564826662,11511584,6824,49.06,52.4,41,48.19,42.8,15.18,4.22,23.19,2.15,,,,
4126,太平洋醫,807128708,10458356,5871,77.17,81,74,76.93,75.2,NA,2.85,17.29,4.46,,,,
4127,天良    ,129882779,6882243,2794,18.87,20.3,16.5,18.52,16.95,36.85,0.88,15.04,1.02,,,,
4128,中天生技,4414334999,104617800,48582,42.19,45.7,37.65,41.59,38,NA,0.5,46.71,3.09,,,,
4129,聯合骨科,409456762,10236534,5564,39.99,43.5,34.5,38.51,35.75,76.06,0,22.08,2.6,,,,
4131,晶宇生技,816355214,19837415,10308,41.15,46.7,36,39.5,37.05,NA,0,41.15,5.17,,,,
8908,欣雄    ,1384690,89579,74,15.45,16.1,14.3,15.31,15.25,52.59,2.62,0.12,1.42,,,,
8917,欣泰    ,2307185,51619,50,44.7,48.4,43.05,44.56,44.9,18.87,4.67,0.05,2.93,,,,
