櫃檯買賣股票成交資料彙總表,,,,,,,,,,,,,,,,
The Trading Summary of Listed Stocks,,,,,,,,,,,,,,,,
99年06月 Jun. 10,,,,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 345,045,767,594元",,,,,,"3. 櫃檯買賣月總成交筆數： 3,770,524筆",,,,,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,,,,
"2. 櫃檯買賣股票月總成交量： 9,491,891,600股",,,,,,4. 成交量週轉率： 12.89%（以上櫃股數計算）,,,,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",         成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield,  週轉率（%）　　Turnover Rate,  淨值比（%）　　PBR,,,
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,,,,
4711,永純    ,26106236,1074690,566,24.29,25.25,22.9,24.21,25,11.16,4.13,1.76,1.36,,,
4712,南璋    ,194224756,10973043,2539,17.7,18.5,16.9,17.54,17.4,N/A,1.69,18.26,1.53,,,
4714,永捷    ,41944179,2557567,936,16.4,17.05,15.85,16.37,16.25,8.98,3.04,6.03,0.89,,,
4716,大立    ,260235742,8104232,4078,32.11,33.8,29.5,31.77,30.4,36.63,0.72,15.09,2.39,,,
4720,德淵企業,424323000,22046919,8608,19.24,20.55,16.25,18.74,18.2,23.95,2.68,32.42,1.37,,,
4721,美琪瑪  ,122593946,4070080,2440,30.12,31.5,28.6,30.03,28.75,17.32,4.95,5.85,2.02,,,
4722,國精化學,85993780,4578899,1588,18.78,20.35,17.15,18.53,17.6,23.78,1.6,7.54,1.14,,,
4733,上緯企業,168322275,2857782,1969,58.89,62,55,60,58,20.86,6.96,4.37,2.65,,,
6509,聚和國際,841356120,31999118,14238,26.29,28.1,24.05,25.84,25.15,18.09,2.67,20.8,1.5,,,
1565,精華光學,1023273206,4051206,3521,252.58,278,232,247.33,258,19.18,3.25,8.04,5.61,,,
1752,南光    ,290862510,10990165,5479,26.46,28.75,23.7,25.49,27.1,N/A,3.7,17.44,2.12,,,
1777,生泰合成,62995206,1504521,856,41.87,43.3,40.1,42.1,41.4,18.4,4.01,6.33,2.25,,,
1781,合世生醫,59189945,2504571,1478,23.63,25.3,22.2,23.81,22.95,N/A,0,7.03,3,,,
1784,訊聯    ,136998958,2703787,2007,50.66,52.6,48,50.46,50,39.06,2.5,6.21,2.28,,,
1788,杏昌生技,90865642,1426533,1031,63.69,65.3,61.1,63.47,63.1,14.44,4.68,4.88,2.16,,,
1795,美時化學,126692924,3502241,2158,36.17,38.35,33.5,36.01,35,100,1.94,8.59,2.64,,,
