櫃檯買賣股票成交資料彙總表  The Trading Summary of Listed Stocks,,,,,,,,,,,,,
"101年7月 Jul., 12",,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 169,699,787,272元",,,,,,"3. 櫃檯買賣月總成交筆數： 1,997,256筆",,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,
"2. 櫃檯買賣股票月總成交量： 4,331,731,279股",,,,,,4. 成交量週轉率： 6.43%（以上櫃股數計算）,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
（ 筆 ）　　
Total Transactions",       成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield, 週轉率（%）　 　Turnover Rate, 淨值比（%）　　PBR
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,
9949,琉園    ,7605291,378487,287,20.09,21.2,19.5,20.14,20.35,35.7,5.89,0.81,1.21
1742,台蠟    ,15637729,1005568,618,15.55,16.8,14.3,15.32,14.6,N/A,20.54,1.55,1.15
1787,福盈科技,35283469,2929505,1274,12.04,12.9,11.5,11.95,11.55,64.17,3.8,4.2,0.77
4702,中美聯合,4461531,280757,222,15.89,16.85,15.55,15.93,16.25,N/A,0,0.37,2.18
4703,金美克能,48790465,3974722,1632,12.27,13,11.5,12.12,12.5,6.31,0,5.81,1.61
4706,大恭化學,8619082,650720,294,13.24,14.45,12.5,13.15,13,11.11,7.69,0.82,0.77
4707,磐亞    ,25313659,3250329,1244,7.78,8.15,7.42,7.74,7.8,26.9,0,1.44,0.45
4711,永純    ,17090676,1020377,362,16.74,17.35,15,16.42,16.2,21.89,6.17,1.67,0.85
4714,永捷    ,20882463,1408381,428,14.82,15.75,14.45,15.02,14.7,14,3.4,3.32,1.01
4716,大立    ,49010510,2588398,1505,18.93,20.2,17.5,18.44,18.6,15.25,5.37,4.29,1.4
4720,德淵企業,37382465,2616582,1196,14.28,15.25,13.8,14.24,14.2,16.9,5.28,3.75,1.06
4721,美琪瑪  ,27761124,1172279,830,23.68,24.45,22.8,23.63,23.65,14.97,10.02,1.56,1.63
4722,國精化學,156736490,6186903,3132,25.33,26.7,24,25.28,26.2,16.79,3.81,8.45,1.57
4739,康普    ,5072524,238414,153,21.27,22.6,20.3,21.54,21.5,15.81,4.65,0.49,1.08
6506,雙邦實業,7190197,621247,320,11.57,12.45,11,11.77,11.6,26.98,8.62,0.99,0.92
6509,聚和國際,64780969,5326076,2490,12.16,12.95,11.45,11.99,11.85,42.32,2.53,3.18,0.74
1565,精華光學,1038359129,3001061,2826,345.99,369,334,345.63,340.5,16.35,4.55,5.95,5.59
1593,祺驊    ,78761265,2630661,1800,29.93,33.6,27,28.49,27.3,17.61,6.59,10.69,1.04
1752,南光    ,131409246,4361231,2756,30.13,31.85,28.8,29.78,29.45,140.24,0.67,6.92,2.26
1777,生泰合成,28231148,618377,428,45.65,47.1,44,45.55,46.6,20.09,3.21,2.6,2.2
1781,合世生醫,63421105,2533428,1327,25.03,26.6,22.75,24.83,25.1,N/A,0,6.02,2.69
1784,訊聯    ,976942013,20459258,13445,47.75,52.8,43.5,46.55,44.85,54.04,0,40.75,2.05
1788,杏昌生技,245500432,3227353,2351,76.06,81.5,70.4,74.09,74.4,17.67,4.7,9.22,1.91
1795,美時化學,34539370,1440788,994,23.97,24.8,22.4,23.84,23.75,N/A,1.26,3.23,1.9
1799,紅電醫  ,6212957,669942,439,9.27,10.4,8.03,9.04,8.35,N/A,0,2.11,0.89
1813,寶利徠  ,42381247,1204000,793,35.2,37.9,32.3,34.41,34,14.05,3.52,2.93,2
3118,進階    ,90608077,2963047,1950,30.57,32.5,28.2,29.71,28.65,16.37,6.98,9.13,1.84
3176,基亞    ,836875459,13199484,8721,63.4,66.5,59.9,62.94,63.7,N/A,0,10.26,8.38
3205,佰研生化,1310353,82879,73,15.81,16.85,15,15.96,15.4,N/A,0,0.34,1.48
3218,大學光學,207891055,8912771,5090,23.32,25.05,19.8,22.27,21.7,74.83,0,13.39,1.27
4102,永日化工,145625059,3879325,2774,37.53,40.9,34.1,37.35,34.95,20.56,5.15,9.16,1.83
4103,百略    ,45587538,922984,689,49.39,50,48.5,49.19,50,13.33,6,0.76,2.14
4105,東洋藥品,2961276276,25060727,15613,118.16,125,110.5,117.45,124.5,37.84,2.08,14.52,7.6
4107,邦特生技,534393261,16694619,9654,32,34.35,29.45,31.55,31,17.51,5.8,21.33,1.91
4109,加捷    ,89180585,4913593,2604,18.14,19.45,16.6,17.41,17.1,39.77,3.45,9.68,1.29
4111,濟生    ,813573610,28504624,15688,28.54,30.2,26.5,28.19,28.75,34.64,1.21,56.81,1.72
