公  司  編  號,公    司           名    稱,營        業        額        (單位：仟元),,,,,累 計 營 業 額 (單位：仟元),,,各 股 月 底 股 價 (單位：元),,
2020,美亞鋼管,366529,422722,-13.29 ,409512,-10.50 ,5036348,4976202,1.21 ,13.50 ,27.25 ,-50.46 
2022,聚亨,135622,139104,-2.50 ,129030,5.11 ,2220173,1906772,16.44 ,5.56 ,7.66 ,-27.42 
2023,燁輝,2502711,2819751,-11.24 ,2583705,-3.13 ,30345908,30399804,-0.18 ,9.85 ,10.55 ,-6.64 
2024,志聯工業,123705,136407,-9.31 ,121134,2.12 ,1810584,1604628,12.84 ,7.08 ,6.93 ,2.16 
2025,千興,313724,381461,-17.76 ,426375,-26.42 ,6170563,4140418,49.03 ,3.90 ,5.68 ,-31.34 
2027,大成鋼,657215,712083,-7.71 ,560660,17.22 ,9659118,8272365,16.76 ,14.60 ,19.25 ,-24.16 
2028,威致鋼鐵,1096287,950258,15.37 ,627158,74.80 ,10108730,6368191,58.74 ,4.79 ,8.28 ,-42.15 
2029,盛餘,1248212,1437156,-13.15 ,1603904,-22.18 ,16182763,15367161,5.31 ,18.65 ,20.90 ,-10.77 
2030,彰源,1058302,1074234,-1.48 ,998786,5.96 ,13967614,11169848,25.05 ,10.20 ,16.30 ,-37.42 
2031,新光鋼,414511,457736,-9.44 ,618643,-33.00 ,6738186,8038905,-16.18 ,16.05 ,28.60 ,-43.88 
2032,新鋼工業,379050,391175,-3.10 ,388395,-2.41 ,4577181,4704250,-2.70 ,9.42 ,17.30 ,-45.55 
2033,佳大世界,91158,85674,6.40 ,83006,9.82 ,990396,960633,3.10 ,8.59 ,16.40 ,-47.62 
2034,允強,2021948,2270736,-10.96 ,1833437,10.28 ,25053116,19781976,26.65 ,16.45 ,22.55 ,-27.05 
2038,海光企業,1239334,1181812,4.87 ,1097208,12.95 ,13166112,10558729,24.69 ,13.30 ,14.25 ,-6.67 
2049,上銀科技,1367384,1366277,0.08 ,870145,57.14 ,13073122,7248948,80.35 ,238.50 ,123.00 ,93.90 
2059,川湖,182887,163371,11.95 ,149308,22.49 ,1662872,1788225,-7.01 ,135.00 ,149.00 ,-9.40 
2062,橋椿,372079,365580,1.78 ,282859,31.54 ,3956050,3767932,4.99 ,27.35 ,37.90 ,-27.84 
